,DateTime,Area,Building,Loop,Type,Usage,Date,Weekday,Week,Time,Cost
0,2017/08/01 00:00,N,D10,main,dorm,37.75,2017-08-01,2,31,00:00,113.25
1,2017/08/01 01:00,N,D10,main,dorm,27.88,2017-08-01,2,31,01:00,83.64
2,2017/08/01 02:00,N,D10,main,dorm,25.25,2017-08-01,2,31,02:00,75.75
3,2017/08/01 03:00,N,D10,main,dorm,24.88,2017-08-01,2,31,03:00,74.64
4,2017/08/01 04:00,N,D10,main,dorm,23.38,2017-08-01,2,31,04:00,70.14
5,2017/08/01 05:00,N,D10,main,dorm,25.25,2017-08-01,2,31,05:00,75.75
6,2017/08/01 06:00,N,D10,main,dorm,22.69,2017-08-01,2,31,06:00,68.07000000000001
7,2017/08/01 07:00,N,D10,main,dorm,23.38,2017-08-01,2,31,07:00,70.14
8,2017/08/01 08:00,N,D10,main,dorm,21.0,2017-08-01,2,31,08:00,63.0
9,2017/08/01 09:00,N,D10,main,dorm,22.75,2017-08-01,2,31,09:00,68.25
10,2017/08/01 10:00,N,D10,main,dorm,20.75,2017-08-01,2,31,10:00,62.25
11,2017/08/01 11:00,N,D10,main,dorm,23.5,2017-08-01,2,31,11:00,70.5
12,2017/08/01 12:00,N,D10,main,dorm,24.13,2017-08-01,2,31,12:00,72.39
13,2017/08/01 13:00,N,D10,main,dorm,24.38,2017-08-01,2,31,13:00,73.14
14,2017/08/01 14:00,N,D10,main,dorm,20.38,2017-08-01,2,31,14:00,61.14
15,2017/08/01 15:00,N,D10,main,dorm,23.38,2017-08-01,2,31,15:00,70.14
16,2017/08/01 16:00,N,D10,main,dorm,21.75,2017-08-01,2,31,16:00,65.25
17,2017/08/01 17:00,N,D10,main,dorm,23.5,2017-08-01,2,31,17:00,70.5
18,2017/08/01 18:00,N,D10,main,dorm,27.5,2017-08-01,2,31,18:00,82.5
19,2017/08/01 19:00,N,D10,main,dorm,32.25,2017-08-01,2,31,19:00,96.75
20,2017/08/01 20:00,N,D10,main,dorm,36.0,2017-08-01,2,31,20:00,108.0
21,2017/08/01 21:00,N,D10,main,dorm,37.5,2017-08-01,2,31,21:00,112.5
22,2017/08/01 22:00,N,D10,main,dorm,50.88,2017-08-01,2,31,22:00,152.64000000000001
23,2017/08/01 23:00,N,D10,main,dorm,41.88,2017-08-01,2,31,23:00,125.64000000000001
24,2017/08/02 00:00,N,D10,main,dorm,37.06,2017-08-02,3,31,00:00,111.18
25,2017/08/02 01:00,N,D10,main,dorm,37.69,2017-08-02,3,31,01:00,113.07
26,2017/08/02 02:00,N,D10,main,dorm,33.5,2017-08-02,3,31,02:00,100.5
27,2017/08/02 03:00,N,D10,main,dorm,26.88,2017-08-02,3,31,03:00,80.64
28,2017/08/02 04:00,N,D10,main,dorm,26.5,2017-08-02,3,31,04:00,79.5
29,2017/08/02 05:00,N,D10,main,dorm,25.0,2017-08-02,3,31,05:00,75.0
30,2017/08/02 06:00,N,D10,main,dorm,22.56,2017-08-02,3,31,06:00,67.67999999999999
31,2017/08/02 07:00,N,D10,main,dorm,22.5,2017-08-02,3,31,07:00,67.5
32,2017/08/02 08:00,N,D10,main,dorm,24.69,2017-08-02,3,31,08:00,74.07000000000001
33,2017/08/02 09:00,N,D10,main,dorm,22.69,2017-08-02,3,31,09:00,68.07000000000001
34,2017/08/02 10:00,N,D10,main,dorm,22.75,2017-08-02,3,31,10:00,68.25
35,2017/08/02 11:00,N,D10,main,dorm,20.94,2017-08-02,3,31,11:00,62.82000000000001
36,2017/08/02 12:00,N,D10,main,dorm,26.0,2017-08-02,3,31,12:00,78.0
37,2017/08/02 13:00,N,D10,main,dorm,21.88,2017-08-02,3,31,13:00,65.64
38,2017/08/02 14:00,N,D10,main,dorm,18.31,2017-08-02,3,31,14:00,54.92999999999999
39,2017/08/02 15:00,N,D10,main,dorm,22.56,2017-08-02,3,31,15:00,67.67999999999999
40,2017/08/02 16:00,N,D10,main,dorm,21.69,2017-08-02,3,31,16:00,65.07000000000001
41,2017/08/02 17:00,N,D10,main,dorm,21.25,2017-08-02,3,31,17:00,63.75
42,2017/08/02 18:00,N,D10,main,dorm,27.38,2017-08-02,3,31,18:00,82.14
43,2017/08/02 19:00,N,D10,main,dorm,29.75,2017-08-02,3,31,19:00,89.25
44,2017/08/02 20:00,N,D10,main,dorm,37.69,2017-08-02,3,31,20:00,113.07
45,2017/08/02 21:00,N,D10,main,dorm,35.69,2017-08-02,3,31,21:00,107.07
46,2017/08/02 22:00,N,D10,main,dorm,39.94,2017-08-02,3,31,22:00,119.82
47,2017/08/02 23:00,N,D10,main,dorm,47.31,2017-08-02,3,31,23:00,141.93
48,2017/08/03 00:00,N,D10,main,dorm,47.81,2017-08-03,4,31,00:00,143.43
49,2017/08/03 01:00,N,D10,main,dorm,31.31,2017-08-03,4,31,01:00,93.92999999999999
50,2017/08/03 02:00,N,D10,main,dorm,31.69,2017-08-03,4,31,02:00,95.07000000000001
51,2017/08/03 03:00,N,D10,main,dorm,27.63,2017-08-03,4,31,03:00,82.89
52,2017/08/03 04:00,N,D10,main,dorm,26.19,2017-08-03,4,31,04:00,78.57000000000001
53,2017/08/03 05:00,N,D10,main,dorm,24.13,2017-08-03,4,31,05:00,72.39
54,2017/08/03 06:00,N,D10,main,dorm,21.63,2017-08-03,4,31,06:00,64.89
55,2017/08/03 07:00,N,D10,main,dorm,20.5,2017-08-03,4,31,07:00,61.5
56,2017/08/03 08:00,N,D10,main,dorm,20.63,2017-08-03,4,31,08:00,61.89
57,2017/08/03 09:00,N,D10,main,dorm,22.75,2017-08-03,4,31,09:00,68.25
58,2017/08/03 10:00,N,D10,main,dorm,23.25,2017-08-03,4,31,10:00,69.75
