,DateTime,Area,Building,Loop,Type,Usage,Date,Weekday,Week,Time,Cost
0,2017/08/01 00:00,S,D12,main,dorm,64.0,2017-08-01,2,31,00:00,192.0
1,2017/08/01 01:00,S,D12,main,dorm,59.0,2017-08-01,2,31,01:00,177.0
2,2017/08/01 02:00,S,D12,main,dorm,55.0,2017-08-01,2,31,02:00,165.0
3,2017/08/01 03:00,S,D12,main,dorm,55.0,2017-08-01,2,31,03:00,165.0
4,2017/08/01 04:00,S,D12,main,dorm,51.0,2017-08-01,2,31,04:00,153.0
5,2017/08/01 05:00,S,D12,main,dorm,45.0,2017-08-01,2,31,05:00,135.0
6,2017/08/01 06:00,S,D12,main,dorm,65.0,2017-08-01,2,31,06:00,195.0
7,2017/08/01 07:00,S,D12,main,dorm,65.5,2017-08-01,2,31,07:00,196.5
8,2017/08/01 08:00,S,D12,main,dorm,50.5,2017-08-01,2,31,08:00,151.5
9,2017/08/01 09:00,S,D12,main,dorm,47.0,2017-08-01,2,31,09:00,141.0
10,2017/08/01 10:00,S,D12,main,dorm,45.0,2017-08-01,2,31,10:00,135.0
11,2017/08/01 11:00,S,D12,main,dorm,24.0,2017-08-01,2,31,11:00,72.0
12,2017/08/01 12:00,S,D12,main,dorm,22.0,2017-08-01,2,31,12:00,66.0
13,2017/08/01 13:00,S,D12,main,dorm,28.0,2017-08-01,2,31,13:00,84.0
14,2017/08/01 14:00,S,D12,main,dorm,27.5,2017-08-01,2,31,14:00,82.5
15,2017/08/01 15:00,S,D12,main,dorm,28.5,2017-08-01,2,31,15:00,85.5
16,2017/08/01 16:00,S,D12,main,dorm,30.5,2017-08-01,2,31,16:00,91.5
17,2017/08/01 17:00,S,D12,main,dorm,31.5,2017-08-01,2,31,17:00,94.5
18,2017/08/01 18:00,S,D12,main,dorm,51.0,2017-08-01,2,31,18:00,153.0
19,2017/08/01 19:00,S,D12,main,dorm,79.0,2017-08-01,2,31,19:00,237.0
20,2017/08/01 20:00,S,D12,main,dorm,70.5,2017-08-01,2,31,20:00,211.5
21,2017/08/01 21:00,S,D12,main,dorm,68.5,2017-08-01,2,31,21:00,205.5
22,2017/08/01 22:00,S,D12,main,dorm,73.0,2017-08-01,2,31,22:00,219.0
23,2017/08/01 23:00,S,D12,main,dorm,77.5,2017-08-01,2,31,23:00,232.5
24,2017/08/02 00:00,S,D12,main,dorm,66.5,2017-08-02,3,31,00:00,199.5
25,2017/08/02 01:00,S,D12,main,dorm,60.0,2017-08-02,3,31,01:00,180.0
26,2017/08/02 02:00,S,D12,main,dorm,56.0,2017-08-02,3,31,02:00,168.0
27,2017/08/02 03:00,S,D12,main,dorm,56.0,2017-08-02,3,31,03:00,168.0
28,2017/08/02 04:00,S,D12,main,dorm,53.0,2017-08-02,3,31,04:00,159.0
29,2017/08/02 05:00,S,D12,main,dorm,43.0,2017-08-02,3,31,05:00,129.0
30,2017/08/02 06:00,S,D12,main,dorm,62.0,2017-08-02,3,31,06:00,186.0
31,2017/08/02 07:00,S,D12,main,dorm,66.0,2017-08-02,3,31,07:00,198.0
32,2017/08/02 08:00,S,D12,main,dorm,62.5,2017-08-02,3,31,08:00,187.5
33,2017/08/02 09:00,S,D12,main,dorm,51.0,2017-08-02,3,31,09:00,153.0
34,2017/08/02 10:00,S,D12,main,dorm,49.0,2017-08-02,3,31,10:00,147.0
35,2017/08/02 11:00,S,D12,main,dorm,29.5,2017-08-02,3,31,11:00,88.5
36,2017/08/02 12:00,S,D12,main,dorm,27.5,2017-08-02,3,31,12:00,82.5
37,2017/08/02 13:00,S,D12,main,dorm,30.5,2017-08-02,3,31,13:00,91.5
38,2017/08/02 14:00,S,D12,main,dorm,27.0,2017-08-02,3,31,14:00,81.0
39,2017/08/02 15:00,S,D12,main,dorm,25.5,2017-08-02,3,31,15:00,76.5
40,2017/08/02 16:00,S,D12,main,dorm,29.5,2017-08-02,3,31,16:00,88.5
41,2017/08/02 17:00,S,D12,main,dorm,34.5,2017-08-02,3,31,17:00,103.5
42,2017/08/02 18:00,S,D12,main,dorm,46.5,2017-08-02,3,31,18:00,139.5
43,2017/08/02 19:00,S,D12,main,dorm,60.0,2017-08-02,3,31,19:00,180.0
44,2017/08/02 20:00,S,D12,main,dorm,63.5,2017-08-02,3,31,20:00,190.5
45,2017/08/02 21:00,S,D12,main,dorm,66.5,2017-08-02,3,31,21:00,199.5
46,2017/08/02 22:00,S,D12,main,dorm,76.0,2017-08-02,3,31,22:00,228.0
47,2017/08/02 23:00,S,D12,main,dorm,82.0,2017-08-02,3,31,23:00,246.0
48,2017/08/03 00:00,S,D12,main,dorm,67.0,2017-08-03,4,31,00:00,201.0
49,2017/08/03 01:00,S,D12,main,dorm,63.5,2017-08-03,4,31,01:00,190.5
50,2017/08/03 02:00,S,D12,main,dorm,59.5,2017-08-03,4,31,02:00,178.5
51,2017/08/03 03:00,S,D12,main,dorm,61.5,2017-08-03,4,31,03:00,184.5
52,2017/08/03 04:00,S,D12,main,dorm,58.5,2017-08-03,4,31,04:00,175.5
53,2017/08/03 05:00,S,D12,main,dorm,46.5,2017-08-03,4,31,05:00,139.5
54,2017/08/03 06:00,S,D12,main,dorm,49.5,2017-08-03,4,31,06:00,148.5
55,2017/08/03 07:00,S,D12,main,dorm,72.0,2017-08-03,4,31,07:00,216.0
56,2017/08/03 08:00,S,D12,main,dorm,61.0,2017-08-03,4,31,08:00,183.0
