Date,Area,Building_name,Loop,Type,Usage
2017/08/31,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/30,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/29,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/28,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/27,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/26,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/25,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/24,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/23,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/22,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/21,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/20,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/19,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/18,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/17,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/16,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/15,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/14,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/13,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/12,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/11,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/10,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/09,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/08,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/07,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/06,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/05,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/04,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/03,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/02,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/01,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/31,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/30,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/29,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/28,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/27,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/26,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/25,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/24,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/23,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/22,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/21,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/20,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/19,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/18,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/17,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/16,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/15,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/14,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/13,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/12,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/11,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/10,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/09,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/08,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/07,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/06,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/05,北區,學生十舍,學生交誼廳,宿舍,0
2017/07/04,北區,學生十舍,學生交誼廳,宿舍,0
2017/08/31,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/30,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/29,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/28,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/27,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/26,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/25,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/24,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/23,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/22,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/21,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/20,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/19,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/18,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/17,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/16,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/15,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/14,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/13,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/12,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/11,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/10,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/09,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/08,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/07,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/06,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/05,南區,學生十三舍,閱覽交誼廳,宿舍,0
2017/08/04,南區,學生十三舍,閱覽交誼廳,宿舍,0
