時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09/01,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13212.75
2016/09/02,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13260.69
2016/09/03,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11846.91
2016/09/04,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11509.22
2016/09/05,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13737.50
2016/09/06,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13576.88
2016/09/07,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13431.19
2016/09/08,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13321.75
2016/09/09,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12738.00
2016/09/10,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11714.56
2016/09/11,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11324.94
2016/09/12,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12942.25
2016/09/13,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12865.25
2016/09/14,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12037.44
2016/09/15,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10295.63
2016/09/16,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9973.44
2016/09/17,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9719.63
2016/09/18,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9834.81
2016/09/19,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11807.31
2016/09/20,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12358.75
2016/09/21,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12327.94
2016/09/22,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12766.94
2016/09/23,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12941.50
2016/09/24,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11508.19
2016/09/25,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8286.56
2016/09/26,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10804.50
2016/09/27,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10108.06
2016/09/28,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10950.56
2016/09/29,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12392.31
2016/09/30,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12236.25
2016/10/01,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11260.75
2016/10/02,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11153.88
2016/10/03,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12740.25
2016/10/04,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12939.44
2016/10/05,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13066.44
2016/10/06,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13371.94
2016/10/07,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12109.06
2016/10/08,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10705.94
2016/10/09,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9463.69
