時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,第二餐廳                ,1F便利超商動力,外租                  ,8070742
2016/11,北區                  ,第二餐廳                ,1F動力1,外租                  ,6193168
2016/10,北區                  ,電資大樓                ,主迴路                 ,教學                  ,5425098
2016/09,北區                  ,電資大樓                ,主迴路                 ,教學                  ,5042575
2016/09,北區                  ,第二餐廳                ,1F動力1,外租                  ,4440173
2016/09,北區                  ,第二餐廳                ,1F動力2,外租                  ,4197488
2016/10,北區                  ,活動中心                ,第一餐聽                ,外租                  ,2713285
2017/07,北區                  ,第二餐廳                ,1F便利超商動力,外租                  ,1552105
2017/05,北區                  ,第二餐廳                ,1F便利超商動力,外租                  ,1526888
2016/10,北區                  ,人社二館                ,主迴路                 ,教學                  ,1220176
2016/09,北區                  ,人社二館                ,主迴路                 ,教學                  ,1177640
2016/09,北區                  ,綜合球館                ,主迴路                 ,行政                  ,877749.7
2017/07,北區                  ,第二餐廳                ,1F動力2,外租                  ,711539.8
2017/06,北區                  ,第二餐廳                ,1F動力2,外租                  ,703146.8
2017/01,北區                  ,光電大樓                ,主迴路                 ,教學                  ,673310.5
2016/11,北區                  ,第二餐廳                ,1F動力2,外租                  ,639189.4
2016/10,北區                  ,管理一館                ,主迴路                 ,教學                  ,577197.8
2016/10,北區                  ,機車Ｄ棚                ,主迴路                 ,行政                  ,530126.5
2016/09,北區                  ,管理一館                ,主迴路                 ,教學                  ,524313.4
2016/09,北區                  ,機車Ｄ棚                ,主迴路                 ,行政                  ,501408.2
2017/08,北區                  ,光電大樓                ,主迴路                 ,教學                  ,421187.8
2017/07,北區                  ,光電大樓                ,主迴路                 ,教學                  ,394491.8
2017/06,北區                  ,光電大樓                ,主迴路                 ,教學                  ,379082
2017/05,北區                  ,光電大樓                ,主迴路                 ,教學                  ,373546.8
2016/10,北區                  ,光電大樓                ,主迴路                 ,教學                  ,368665.9
2016/09,北區                  ,光電大樓                ,主迴路                 ,教學                  ,355831.7
2016/11,北區                  ,環保大樓                ,主迴路                 ,教學                  ,353208.9
2017/05,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,343788
2016/10,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,339247
2017/06,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,331706
2017/06,北區                  ,第二餐廳                ,2F素食部P動力,外租                  ,323569
2017/08,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,322267
2016/11,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,319436.5
2016/09,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,308647
2017/07,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,306851
2017/04,北區                  ,光電大樓                ,主迴路                 ,教學                  ,306591.9
2017/08,北區                  ,電資大樓                ,主迴路                 ,教學                  ,305416
2017/04,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,295760
2017/06,北區                  ,電資大樓                ,主迴路                 ,教學                  ,290348
2017/03,北區                  ,光電大樓                ,主迴路                 ,教學                  ,283449.9
2017/07,北區                  ,電資大樓                ,主迴路                 ,教學                  ,282881
2016/12,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,268741
2017/05,北區                  ,電資大樓                ,主迴路                 ,教學                  ,256653
2017/03,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,253917.5
2017/02,北區                  ,光電大樓                ,主迴路                 ,教學                  ,225028.5
2017/01,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,224744.5
2016/11,北區                  ,電資大樓                ,主迴路                 ,教學                  ,210116
2017/04,北區                  ,電資大樓                ,主迴路                 ,教學                  ,200656
2017/02,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,193847.5
2017/08,北區                  ,科學二館                ,主迴路                 ,教學                  ,183416
2017/05,北區                  ,科學二館                ,主迴路                 ,教學                  ,179884
2016/12,北區                  ,電資大樓                ,主迴路                 ,教學                  ,176069
2016/11,北區                  ,光電大樓                ,主迴路                 ,教學                  ,175533.4
2017/06,北區                  ,科學二館                ,主迴路                 ,教學                  ,175408
2017/07,北區                  ,科學二館                ,主迴路                 ,教學                  ,174234
2016/10,北區                  ,科學二館                ,主迴路                 ,教學                  ,167179
2017/03,北區                  ,電資大樓                ,主迴路                 ,教學                  ,162137
2016/09,北區                  ,科學二館                ,主迴路                 ,教學                  ,155622
2017/01,北區                  ,電資大樓                ,主迴路                 ,教學                  ,147811.5
