month;date;area;bd_name;loop;types;Usage
Sep;2016/09;北區                  ;工程二館                ;主迴路                 ;教學                  ;39896.34
Oct;2016/10;北區                  ;工程二館                ;主迴路                 ;教學                  ;40630.19
Nov;2016/11;北區                  ;工程二館                ;主迴路                 ;教學                  ;29715.28
Dec;2016/12;北區                  ;工程二館                ;主迴路                 ;教學                  ;26457.34
Jan;2017/01;北區                  ;工程二館                ;主迴路                 ;教學                  ;23412.44
Feb;2017/02;北區                  ;工程二館                ;主迴路                 ;教學                  ;20996.31
Mar;2017/03;北區                  ;工程二館                ;主迴路                 ;教學                  ;25768.88
Apr;2017/04;北區                  ;工程二館                ;主迴路                 ;教學                  ;29174.13
May;2017/05;北區                  ;工程二館                ;主迴路                 ;教學                  ;37091.38
Jun;2017/06;北區                  ;工程二館                ;主迴路                 ;教學                  ;43642.63
Jul;2017/07;北區                  ;工程二館                ;主迴路                 ;教學                  ;42162.31
Aug;2017/08;北區                  ;工程二館                ;主迴路                 ;教學                  ;40210
