month;date;area;bd_name;loop;types;Usage
Sep;2016/09;北區                  ;科學一館                ;主迴路                 ;教學                  ;56180.06
Oct;2016/10;北區                  ;科學一館                ;主迴路                 ;教學                  ;60920.13
Nov;2016/11;北區                  ;科學一館                ;主迴路                 ;教學                  ;44560.88
Dec;2016/12;北區                  ;科學一館                ;主迴路                 ;教學                  ;40563.19
Jan;2017/01;北區                  ;科學一館                ;主迴路                 ;教學                  ;33757.56
Feb;2017/02;北區                  ;科學一館                ;主迴路                 ;教學                  ;31529.94
Mar;2017/03;北區                  ;科學一館                ;主迴路                 ;教學                  ;40157.38
Apr;2017/04;北區                  ;科學一館                ;主迴路                 ;教學                  ;42889.44
May;2017/05;北區                  ;科學一館                ;主迴路                 ;教學                  ;57777.88
Jun;2017/06;北區                  ;科學一館                ;主迴路                 ;教學                  ;67220.88
Jul;2017/07;北區                  ;科學一館                ;主迴路                 ;教學                  ;64002.38
Aug;2017/08;北區                  ;科學一館                ;主迴路                 ;教學                  ;64538.13
