weekday,時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
4,2016/9/1,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10634
5,2016/9/2,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10388
6,2016/9/3,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9028
7,2016/9/4,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9187.5
1,2016/9/5,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11078
2,2016/9/6,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10518
3,2016/9/7,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10813.5
4,2016/9/8,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10886.5
5,2016/9/9,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10357.5
6,2016/9/10,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9760.5
7,2016/9/11,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9414.5
1,2016/9/12,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10602
2,2016/9/13,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11092
3,2016/9/14,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10633.5
4,2016/9/15,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8962.5
5,2016/9/16,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9004.5
6,2016/9/17,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8635.5
7,2016/9/18,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9451
1,2016/9/19,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11292.5
2,2016/9/20,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11856
3,2016/9/21,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11911.5
4,2016/9/22,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,12451.5
5,2016/9/23,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11829.5
6,2016/9/24,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10310
7,2016/9/25,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7618.5
1,2016/9/26,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9373
2,2016/9/27,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8831
3,2016/9/28,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9750.5
4,2016/9/29,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11920
5,2016/9/30,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11056
6,2016/10/1,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9884
7,2016/10/2,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9616.5
1,2016/10/3,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11243
2,2016/10/4,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11827.5
3,2016/10/5,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11954
4,2016/10/6,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11799
5,2016/10/7,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11170
6,2016/10/8,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9744
7,2016/10/9,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9310.5
1,2016/10/10,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9587.5
2,2016/10/11,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10555
