時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,光電大樓                ,主迴路                 ,教學                  ,355831.70
2016/10,北區                  ,光電大樓                ,主迴路                 ,教學                  ,368665.90
2016/11,北區                  ,光電大樓                ,主迴路                 ,教學                  ,175533.40
2016/12,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0.00
2017/01,北區                  ,光電大樓                ,主迴路                 ,教學                  ,673310.50
2017/02,北區                  ,光電大樓                ,主迴路                 ,教學                  ,225028.50
2017/03,北區                  ,光電大樓                ,主迴路                 ,教學                  ,283449.90
2017/04,北區                  ,光電大樓                ,主迴路                 ,教學                  ,306591.90
2017/05,北區                  ,光電大樓                ,主迴路                 ,教學                  ,373546.80
2017/06,北區                  ,光電大樓                ,主迴路                 ,教學                  ,379082.00
2017/07,北區                  ,光電大樓                ,主迴路                 ,教學                  ,394491.80
2017/08,北區                  ,光電大樓                ,主迴路                 ,教學                  ,421187.80
