時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,學生十一舍               ,主迴路                 ,宿舍                  ,11733.75
2016/10,北區                  ,學生十一舍               ,主迴路                 ,宿舍                  ,12599.75
2016/11,北區                  ,學生十一舍               ,主迴路                 ,宿舍                  ,11374.88
2016/12,北區                  ,學生十一舍               ,主迴路                 ,宿舍                  ,11045.75
2017/01,北區                  ,學生十一舍               ,主迴路                 ,宿舍                  ,9981.75
2017/02,北區                  ,學生十一舍               ,主迴路                 ,宿舍                  ,9449.63
2017/03,北區                  ,學生十一舍               ,主迴路                 ,宿舍                  ,12037.63
2017/04,北區                  ,學生十一舍               ,主迴路                 ,宿舍                  ,11393.63
2017/05,北區                  ,學生十一舍               ,主迴路                 ,宿舍                  ,12572.50
2017/06,北區                  ,學生十一舍               ,主迴路                 ,宿舍                  ,12413.13
2017/07,北區                  ,學生十一舍               ,主迴路                 ,宿舍                  ,11160.63
2017/08,北區                  ,學生十一舍               ,主迴路                 ,宿舍                  ,11266.38
