時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,308647.00
2016/10,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,339247.00
2016/11,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,319436.50
2016/12,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,268741.00
2017/01,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,224744.50
2017/02,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,193847.50
2017/03,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,253917.50
2017/04,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,295760.00
2017/05,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,343788.00
2017/06,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,331706.00
2017/07,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,306851.00
2017/08,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,322267.00
