時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,南區                  ,工程四館                ,主迴路                 ,教學                  ,342484.00
2016/10,南區                  ,工程四館                ,主迴路                 ,教學                  ,366530.00
2016/11,南區                  ,工程四館                ,主迴路                 ,教學                  ,303070.00
2016/12,南區                  ,工程四館                ,主迴路                 ,教學                  ,277907.00
2017/01,南區                  ,工程四館                ,主迴路                 ,教學                  ,13813330.00
2017/02,南區                  ,工程四館                ,主迴路                 ,教學                  ,203618.00
2017/03,南區                  ,工程四館                ,主迴路                 ,教學                  ,255078.00
2017/04,南區                  ,工程四館                ,主迴路                 ,教學                  ,278830.00
2017/05,南區                  ,工程四館                ,主迴路                 ,教學                  ,14985320.00
2017/06,南區                  ,工程四館                ,主迴路                 ,教學                  ,15064240.00
2017/07,南區                  ,工程四館                ,主迴路                 ,教學                  ,371254.00
2017/08,南區                  ,工程四館                ,主迴路                 ,教學                  ,355897.00
