時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,南區                  ,研究生二舍               ,主迴路                 ,宿舍                  ,56331.00
2016/10,南區                  ,研究生二舍               ,主迴路                 ,宿舍                  ,56723.00
2016/11,南區                  ,研究生二舍               ,主迴路                 ,宿舍                  ,39340.50
2016/12,南區                  ,研究生二舍               ,主迴路                 ,宿舍                  ,38292.00
2017/01,南區                  ,研究生二舍               ,主迴路                 ,宿舍                  ,4457912.00
2017/02,南區                  ,研究生二舍               ,主迴路                 ,宿舍                  ,33277.50
2017/03,南區                  ,研究生二舍               ,主迴路                 ,宿舍                  ,39149.50
2017/04,南區                  ,研究生二舍               ,主迴路                 ,宿舍                  ,39237.50
2017/05,南區                  ,研究生二舍               ,主迴路                 ,宿舍                  ,4638873.00
2017/06,南區                  ,研究生二舍               ,主迴路                 ,宿舍                  ,4659724.00
2017/07,南區                  ,研究生二舍               ,主迴路                 ,宿舍                  ,68235.00
2017/08,南區                  ,研究生二舍               ,主迴路                 ,宿舍                  ,68436.50
