時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,科學一館                ,主迴路                 ,教學                  ,56180.06
2016/10,北區                  ,科學一館                ,主迴路                 ,教學                  ,60920.13
2016/11,北區                  ,科學一館                ,主迴路                 ,教學                  ,44560.88
2016/12,北區                  ,科學一館                ,主迴路                 ,教學                  ,40563.19
2017/01,北區                  ,科學一館                ,主迴路                 ,教學                  ,33757.56
2017/02,北區                  ,科學一館                ,主迴路                 ,教學                  ,31529.94
2017/03,北區                  ,科學一館                ,主迴路                 ,教學                  ,40157.38
2017/04,北區                  ,科學一館                ,主迴路                 ,教學                  ,42889.44
2017/05,北區                  ,科學一館                ,主迴路                 ,教學                  ,57777.88
2017/06,北區                  ,科學一館                ,主迴路                 ,教學                  ,67220.88
2017/07,北區                  ,科學一館                ,主迴路                 ,教學                  ,64002.38
2017/08,北區                  ,科學一館                ,主迴路                 ,教學                  ,64538.13
