時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,管理一館                ,主迴路                 ,教學                  ,524313.40
2016/10,北區                  ,管理一館                ,主迴路                 ,教學                  ,577197.80
2016/11,北區                  ,管理一館                ,主迴路                 ,教學                  ,27131.50
2016/12,北區                  ,管理一館                ,主迴路                 ,教學                  ,23924.25
2017/01,北區                  ,管理一館                ,主迴路                 ,教學                  ,18712.63
2017/02,北區                  ,管理一館                ,主迴路                 ,教學                  ,16063.75
2017/03,北區                  ,管理一館                ,主迴路                 ,教學                  ,21471.19
2017/04,北區                  ,管理一館                ,主迴路                 ,教學                  ,23474.44
2017/05,北區                  ,管理一館                ,主迴路                 ,教學                  ,30093.88
2017/06,北區                  ,管理一館                ,主迴路                 ,教學                  ,31214.06
2017/07,北區                  ,管理一館                ,主迴路                 ,教學                  ,27669.63
2017/08,北區                  ,管理一館                ,主迴路                 ,教學                  ,25850.06
