時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,南區                  ,管理二館                ,主迴路                 ,教學                  ,5775086.00
2016/10,南區                  ,管理二館                ,主迴路                 ,教學                  ,66001.00
2016/11,南區                  ,管理二館                ,主迴路                 ,教學                  ,50769.50
2016/12,南區                  ,管理二館                ,主迴路                 ,教學                  ,43909.50
2017/01,南區                  ,管理二館                ,主迴路                 ,教學                  ,6002545.00
2017/02,南區                  ,管理二館                ,主迴路                 ,教學                  ,30163.00
2017/03,南區                  ,管理二館                ,主迴路                 ,教學                  ,42109.50
2017/04,南區                  ,管理二館                ,主迴路                 ,教學                  ,46436.50
2017/05,南區                  ,管理二館                ,主迴路                 ,教學                  ,59363.50
2017/06,南區                  ,管理二館                ,主迴路                 ,教學                  ,70949.00
2017/07,南區                  ,管理二館                ,主迴路                 ,教學                  ,70842.50
2017/08,南區                  ,管理二館                ,主迴路                 ,教學                  ,70191.00
