時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,南區                  ,綜合一館                ,主迴路                 ,教學                  ,58554.00
2016/10,南區                  ,綜合一館                ,主迴路                 ,教學                  ,68374.00
2016/11,南區                  ,綜合一館                ,主迴路                 ,教學                  ,7742991.00
2016/12,南區                  ,綜合一館                ,主迴路                 ,教學                  ,51528.00
2017/01,南區                  ,綜合一館                ,主迴路                 ,教學                  ,7853744.00
2017/02,南區                  ,綜合一館                ,主迴路                 ,教學                  ,37963.00
2017/03,南區                  ,綜合一館                ,主迴路                 ,教學                  ,7906112.00
2017/04,南區                  ,綜合一館                ,主迴路                 ,教學                  ,49957.00
2017/05,南區                  ,綜合一館                ,主迴路                 ,教學                  ,60444.00
2017/06,南區                  ,綜合一館                ,主迴路                 ,教學                  ,61061.00
2017/07,南區                  ,綜合一館                ,主迴路                 ,教學                  ,59403.00
2017/08,南區                  ,綜合一館                ,主迴路                 ,教學                  ,56837.00
