時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,電資大樓                ,主迴路                 ,教學                  ,5042575.00
2016/10,北區                  ,電資大樓                ,主迴路                 ,教學                  ,5425098.00
2016/11,北區                  ,電資大樓                ,主迴路                 ,教學                  ,210116.00
2016/12,北區                  ,電資大樓                ,主迴路                 ,教學                  ,176069.00
2017/01,北區                  ,電資大樓                ,主迴路                 ,教學                  ,147811.50
2017/02,北區                  ,電資大樓                ,主迴路                 ,教學                  ,128627.50
2017/03,北區                  ,電資大樓                ,主迴路                 ,教學                  ,162137.00
2017/04,北區                  ,電資大樓                ,主迴路                 ,教學                  ,200656.00
2017/05,北區                  ,電資大樓                ,主迴路                 ,教學                  ,256653.00
2017/06,北區                  ,電資大樓                ,主迴路                 ,教學                  ,290348.00
2017/07,北區                  ,電資大樓                ,主迴路                 ,教學                  ,282881.00
2017/08,北區                  ,電資大樓                ,主迴路                 ,教學                  ,305416.00
