weekday;date;area;bd_name;loop;types;Usage
4;2016/09/01;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1771
5;2016/09/02;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1857.5
6;2016/09/03;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1584.5
7;2016/09/04;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1616.5
1;2016/09/05;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1788.5
2;2016/09/06;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1803
3;2016/09/07;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1776.5
4;2016/09/08;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1799.5
5;2016/09/09;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1775
6;2016/09/10;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1624
7;2016/09/11;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1505.5
1;2016/09/12;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2583
2;2016/09/13;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2889.5
3;2016/09/14;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2356.5
4;2016/09/15;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1271.5
5;2016/09/16;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1203
6;2016/09/17;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1229
7;2016/09/18;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1291
1;2016/09/19;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2563.5
2;2016/09/20;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2671.5
3;2016/09/21;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2626.5
4;2016/09/22;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2665
5;2016/09/23;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2330.5
6;2016/09/24;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1723
7;2016/09/25;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1560
1;2016/09/26;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2617.5
2;2016/09/27;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1377.5
3;2016/09/28;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1592.5
4;2016/09/29;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2798
5;2016/09/30;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2303.5
6;2016/10/01;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1533
7;2016/10/02;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1372
1;2016/10/03;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2789.5
2;2016/10/04;南區                  ;綜合一館                ;主迴路                 ;教學                  ;3141
3;2016/10/05;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2826.5
4;2016/10/06;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2944.5
5;2016/10/07;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2172.5
6;2016/10/08;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1016.5
7;2016/10/09;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1019.5
1;2016/10/10;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1091
2;2016/10/11;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2518
3;2016/10/12;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2166
4;2016/10/13;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2340
5;2016/10/14;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2093
6;2016/10/15;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2082
7;2016/10/16;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1776
1;2016/10/17;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2646.5
2;2016/10/18;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2902.5
3;2016/10/19;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2613.5
4;2016/10/20;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2761
5;2016/10/21;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2253.5
6;2016/10/22;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1623
7;2016/10/23;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1532.5
1;2016/10/24;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2726.5
2;2016/10/25;南區                  ;綜合一館                ;主迴路                 ;教學                  ;3014
3;2016/10/26;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2759
4;2016/10/27;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2761.5
5;2016/10/28;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2319
6;2016/10/29;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1754
7;2016/10/30;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1613.5
1;2016/10/31;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2213
2;2016/11/01;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2178
3;2016/11/02;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1904
4;2016/11/03;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1968.5
5;2016/11/04;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1713
6;2016/11/05;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1424
7;2016/11/06;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1435.5
1;2016/11/07;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2196
2;2016/11/08;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2296
3;2016/11/09;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1866
4;2016/11/10;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1916
5;2016/11/11;南區                  ;綜合一館                ;主迴路                 ;教學                  ;7689236
6;2016/11/12;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1474.5
7;2016/11/13;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1381
1;2016/11/14;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2180
2;2016/11/15;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2475
3;2016/11/16;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2229
4;2016/11/17;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2389
5;2016/11/18;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1906
6;2016/11/19;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1363
7;2016/11/20;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1330
1;2016/11/21;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2061
2;2016/11/22;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2255
3;2016/11/23;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1894
4;2016/11/24;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1881
5;2016/11/25;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1896
6;2016/11/26;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1399
7;2016/11/27;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1191
1;2016/11/28;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1652
2;2016/11/29;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2024
3;2016/11/30;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1877
4;2016/12/01;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1785.5
5;2016/12/02;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1708.5
6;2016/12/03;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1400
7;2016/12/04;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1352.5
1;2016/12/05;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1845
2;2016/12/06;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2013.5
3;2016/12/07;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1577
4;2016/12/08;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1780.5
5;2016/12/09;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1606.5
6;2016/12/10;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1290
7;2016/12/11;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1241
1;2016/12/12;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1936
2;2016/12/13;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2176.5
3;2016/12/14;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1819.5
4;2016/12/15;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1802
5;2016/12/16;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1561
6;2016/12/17;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1187.5
7;2016/12/18;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1182.5
1;2016/12/19;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1795
2;2016/12/20;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2180
3;2016/12/21;南區                  ;綜合一館                ;主迴路                 ;教學                  ;2065
4;2016/12/22;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1909
5;2016/12/23;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1717
6;2016/12/24;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1339
7;2016/12/25;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1345
1;2016/12/26;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1851
2;2016/12/27;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1845
3;2016/12/28;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1812
4;2016/12/29;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1777
5;2016/12/30;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1516
6;2016/12/31;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1112
7;2017/01/01;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1117.5
1;2017/01/02;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1186.5
2;2017/01/03;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1865
3;2017/01/04;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1758
4;2017/01/05;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1854
5;2017/01/06;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1674
6;2017/01/07;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1371
7;2017/01/08;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1375.5
1;2017/01/09;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1682.5
2;2017/01/10;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1771
3;2017/01/11;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1843.5
4;2017/01/12;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1704.5
5;2017/01/13;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1525
6;2017/01/14;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1268
7;2017/01/15;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1305.5
1;2017/01/16;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1566
2;2017/01/17;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1469.5
3;2017/01/18;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1619
4;2017/01/19;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1486.5
5;2017/01/20;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1517.5
6;2017/01/21;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1283
7;2017/01/22;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1295
1;2017/01/23;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1532
2;2017/01/24;南區                  ;綜合一館                ;主迴路                 ;教學                  ;7812288
3;2017/01/25;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1280
4;2017/01/26;南區                  ;綜合一館                ;主迴路                 ;教學                  ;962
5;2017/01/27;南區                  ;綜合一館                ;主迴路                 ;教學                  ;864
6;2017/01/28;南區                  ;綜合一館                ;主迴路                 ;教學                  ;821.5
7;2017/01/29;南區                  ;綜合一館                ;主迴路                 ;教學                  ;807
1;2017/01/30;南區                  ;綜合一館                ;主迴路                 ;教學                  ;803
2;2017/01/31;南區                  ;綜合一館                ;主迴路                 ;教學                  ;849
3;2017/02/01;南區                  ;綜合一館                ;主迴路                 ;教學                  ;909
4;2017/02/02;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1105
5;2017/02/03;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1150
6;2017/02/04;南區                  ;綜合一館                ;主迴路                 ;教學                  ;997
7;2017/02/05;南區                  ;綜合一館                ;主迴路                 ;教學                  ;946
1;2017/02/06;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1165
2;2017/02/07;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1312
3;2017/02/08;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1348
4;2017/02/09;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1574
5;2017/02/10;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1663
6;2017/02/11;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1134.5
7;2017/02/12;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1139.5
1;2017/02/13;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1568.5
2;2017/02/14;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1800.5
3;2017/02/15;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1571
4;2017/02/16;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1615
5;2017/02/17;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1485
6;2017/02/18;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1223
7;2017/02/19;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1084.5
1;2017/02/20;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1656.5
2;2017/02/21;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1837
3;2017/02/22;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1705.5
4;2017/02/23;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1758.5
5;2017/02/24;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1552.5
6;2017/02/25;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1208
7;2017/02/26;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1181.5
1;2017/02/27;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1160
2;2017/02/28;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1113
3;2017/03/01;南區                  ;綜合一館                ;主迴路                 ;教學                  ;7858004
4;2017/03/02;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1735
5;2017/03/03;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1573
6;2017/03/04;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1233.5
7;2017/03/05;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1133
1;2017/03/06;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1736.5
2;2017/03/07;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1882
3;2017/03/08;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1720
4;2017/03/09;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1765.5
5;2017/03/10;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1603.5
6;2017/03/11;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1267.5
7;2017/03/12;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1223.5
1;2017/03/13;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1747
2;2017/03/14;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1898
3;2017/03/15;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1725
4;2017/03/16;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1817
5;2017/03/17;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1556
6;2017/03/18;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1315
7;2017/03/19;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1287
1;2017/03/20;南區                  ;綜合一館                ;主迴路                 ;教學                  ;1734
