month;date;area;bd_name;loop;types;Usage
Sep;2016/09;南區                  ;綜合一館                ;主迴路                 ;教學                  ;58554
Oct;2016/10;南區                  ;綜合一館                ;主迴路                 ;教學                  ;68374
Nov;2016/11;南區                  ;綜合一館                ;主迴路                 ;教學                  ;7742991
Dec;2016/12;南區                  ;綜合一館                ;主迴路                 ;教學                  ;51528
Jan;2017/01;南區                  ;綜合一館                ;主迴路                 ;教學                  ;7853744
Feb;2017/02;南區                  ;綜合一館                ;主迴路                 ;教學                  ;37963
Mar;2017/03;南區                  ;綜合一館                ;主迴路                 ;教學                  ;7906112
Apr;2017/04;南區                  ;綜合一館                ;主迴路                 ;教學                  ;49957
May;2017/05;南區                  ;綜合一館                ;主迴路                 ;教學                  ;60444
Jun;2017/06;南區                  ;綜合一館                ;主迴路                 ;教學                  ;61061
Jul;2017/07;南區                  ;綜合一館                ;主迴路                 ;教學                  ;59403
Aug;2017/08;南區                  ;綜合一館                ;主迴路                 ;教學                  ;56837
