時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09/01,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10634.00
2016/09/02,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10388.00
2016/09/03,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9028.00
2016/09/04,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9187.50
2016/09/05,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11078.00
2016/09/06,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10518.00
2016/09/07,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10813.50
2016/09/08,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10886.50
2016/09/09,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10357.50
2016/09/10,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9760.50
2016/09/11,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9414.50
2016/09/12,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10602.00
2016/09/13,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11092.00
2016/09/14,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10633.50
2016/09/15,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8962.50
2016/09/16,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9004.50
2016/09/17,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8635.50
2016/09/18,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9451.00
2016/09/19,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11292.50
2016/09/20,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11856.00
2016/09/21,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11911.50
2016/09/22,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,12451.50
2016/09/23,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11829.50
2016/09/24,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10310.00
2016/09/25,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7618.50
2016/09/26,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9373.00
2016/09/27,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8831.00
2016/09/28,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9750.50
2016/09/29,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11920.00
2016/09/30,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11056.00
2016/10/01,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9884.00
2016/10/02,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9616.50
2016/10/03,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11243.00
2016/10/04,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11827.50
2016/10/05,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11954.00
2016/10/06,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11799.00
2016/10/07,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11170.00
2016/10/08,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9744.00
2016/10/09,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9310.50
2016/10/10,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9587.50
