時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2017/09/01,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10480.00
2017/09/02,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9470.00
2017/09/03,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9276.00
2017/09/04,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10233.00
2017/09/05,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10330.00
2017/09/06,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10605.00
2017/09/07,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10832.00
2017/09/08,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10375.00
2017/09/09,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8965.00
2017/09/10,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8967.00
2017/09/11,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10745.00
2017/09/12,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11496.00
2017/09/13,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11155.00
2017/09/14,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11472.00
2017/09/15,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10865.00
2017/09/16,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9544.00
2017/09/17,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9713.00
2017/09/18,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11253.00
2017/09/19,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11503.00
2017/09/20,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11642.00
2017/09/21,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,12057.00
2017/09/22,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11660.00
2017/09/23,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9603.00
