時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2015/08/02,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,119.63
2015/08/03,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8037.25
2015/08/04,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9839.63
2015/08/05,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,2052349.00
2015/08/06,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10472.63
2015/08/07,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9539.25
2015/08/08,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8204.25
2015/08/09,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8506.25
2015/08/10,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10359.25
2015/08/11,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10670.38
2015/08/12,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10773.25
2015/08/13,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10620.75
2015/08/14,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10341.25
2015/08/15,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9302.00
2015/08/16,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,2155959.00
2015/08/17,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10771.50
2015/08/18,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11393.75
2015/08/19,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11375.50
2015/08/20,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11060.25
2015/08/21,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10973.50
2015/08/22,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9901.75
2015/08/23,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9376.00
2015/08/24,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10327.50
2015/08/25,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10558.25
2015/08/26,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10686.25
2015/08/27,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10210.50
2015/08/28,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9753.00
2015/08/29,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8955.75
2015/08/30,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9079.50
2015/08/31,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9638.25
2015/09/01,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9992.00
2015/09/02,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10388.25
2015/09/03,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10411.75
2015/09/04,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10294.50
2015/09/05,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9459.00
2015/09/06,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9553.25
2015/09/07,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10290.25
2015/09/08,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10668.75
2015/09/09,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10682.75
2015/09/10,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10815.25
2015/09/11,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9934.75
2015/09/12,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,7426.50
2015/09/13,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,1423.25
2015/09/14,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,2439709.00
2015/09/15,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11461.25
2015/09/16,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11028.00
2015/09/17,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10917.50
2015/09/18,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10603.25
2015/09/19,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9121.75
2015/09/20,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9282.50
2015/09/21,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10624.50
2015/09/22,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11521.00
2015/09/23,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10913.75
2015/09/24,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11155.00
2015/09/25,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11033.75
2015/09/26,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9308.50
2015/09/27,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8711.75
2015/09/28,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9050.25
2015/09/29,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9659.75
2015/09/30,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11208.00
2015/10/01,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11269.75
2015/10/02,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10771.25
2015/10/03,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9821.25
2015/10/04,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9609.00
2015/10/05,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11444.75
2015/10/06,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11865.50
2015/10/07,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11184.50
2015/10/08,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11223.25
2015/10/09,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9315.75
2015/10/10,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8957.25
2015/10/11,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8503.75
2015/10/12,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9133.00
2015/10/13,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9580.75
2015/10/14,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9817.00
2015/10/15,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10320.50
2015/10/16,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10193.00
2015/10/17,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8796.25
2015/10/18,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8729.00
2015/10/19,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10259.00
2015/10/20,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10504.75
2015/10/21,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10349.50
2015/10/22,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10638.50
2015/10/23,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10488.00
2015/10/24,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9356.25
2015/10/25,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9501.50
2015/10/26,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10852.25
2015/10/27,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11073.75
2015/10/28,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10813.25
2015/10/29,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11119.00
2015/10/30,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10269.50
2015/10/31,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8964.50
2015/11/01,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,8699.25
2015/11/02,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9217.50
2015/11/03,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,9929.50
2015/11/04,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10454.25
2015/11/05,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,11051.50
2015/11/06,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,10806.00
