weekday;date;area;bd_name;loop;types;Usage
4;2016/09/01;南區                  ;工程四館                ;主迴路                 ;教學                  ;12584
5;2016/09/02;南區                  ;工程四館                ;主迴路                 ;教學                  ;12016
6;2016/09/03;南區                  ;工程四館                ;主迴路                 ;教學                  ;9643
7;2016/09/04;南區                  ;工程四館                ;主迴路                 ;教學                  ;10192
1;2016/09/05;南區                  ;工程四館                ;主迴路                 ;教學                  ;12896
2;2016/09/06;南區                  ;工程四館                ;主迴路                 ;教學                  ;12514
3;2016/09/07;南區                  ;工程四館                ;主迴路                 ;教學                  ;12727
4;2016/09/08;南區                  ;工程四館                ;主迴路                 ;教學                  ;12727
5;2016/09/09;南區                  ;工程四館                ;主迴路                 ;教學                  ;11854
6;2016/09/10;南區                  ;工程四館                ;主迴路                 ;教學                  ;10568
7;2016/09/11;南區                  ;工程四館                ;主迴路                 ;教學                  ;10245
1;2016/09/12;南區                  ;工程四館                ;主迴路                 ;教學                  ;13364
2;2016/09/13;南區                  ;工程四館                ;主迴路                 ;教學                  ;13123
3;2016/09/14;南區                  ;工程四館                ;主迴路                 ;教學                  ;12396
4;2016/09/15;南區                  ;工程四館                ;主迴路                 ;教學                  ;8819
5;2016/09/16;南區                  ;工程四館                ;主迴路                 ;教學                  ;8372
6;2016/09/17;南區                  ;工程四館                ;主迴路                 ;教學                  ;8425
7;2016/09/18;南區                  ;工程四館                ;主迴路                 ;教學                  ;8955
1;2016/09/19;南區                  ;工程四館                ;主迴路                 ;教學                  ;12683
2;2016/09/20;南區                  ;工程四館                ;主迴路                 ;教學                  ;12203
3;2016/09/21;南區                  ;工程四館                ;主迴路                 ;教學                  ;12735
4;2016/09/22;南區                  ;工程四館                ;主迴路                 ;教學                  ;12756
5;2016/09/23;南區                  ;工程四館                ;主迴路                 ;教學                  ;12294
6;2016/09/24;南區                  ;工程四館                ;主迴路                 ;教學                  ;9785
7;2016/09/25;南區                  ;工程四館                ;主迴路                 ;教學                  ;9164
1;2016/09/26;南區                  ;工程四館                ;主迴路                 ;教學                  ;13312
2;2016/09/27;南區                  ;工程四館                ;主迴路                 ;教學                  ;9468
3;2016/09/28;南區                  ;工程四館                ;主迴路                 ;教學                  ;10654
4;2016/09/29;南區                  ;工程四館                ;主迴路                 ;教學                  ;13219
5;2016/09/30;南區                  ;工程四館                ;主迴路                 ;教學                  ;12791
6;2016/10/01;南區                  ;工程四館                ;主迴路                 ;教學                  ;9834
7;2016/10/02;南區                  ;工程四館                ;主迴路                 ;教學                  ;10215
1;2016/10/03;南區                  ;工程四館                ;主迴路                 ;教學                  ;12733
2;2016/10/04;南區                  ;工程四館                ;主迴路                 ;教學                  ;13022
3;2016/10/05;南區                  ;工程四館                ;主迴路                 ;教學                  ;13802
4;2016/10/06;南區                  ;工程四館                ;主迴路                 ;教學                  ;13884
5;2016/10/07;南區                  ;工程四館                ;主迴路                 ;教學                  ;12443
6;2016/10/08;南區                  ;工程四館                ;主迴路                 ;教學                  ;8945
7;2016/10/09;南區                  ;工程四館                ;主迴路                 ;教學                  ;8443
1;2016/10/10;南區                  ;工程四館                ;主迴路                 ;教學                  ;8823
2;2016/10/11;南區                  ;工程四館                ;主迴路                 ;教學                  ;11638
3;2016/10/12;南區                  ;工程四館                ;主迴路                 ;教學                  ;11750
4;2016/10/13;南區                  ;工程四館                ;主迴路                 ;教學                  ;11869
5;2016/10/14;南區                  ;工程四館                ;主迴路                 ;教學                  ;11653
6;2016/10/15;南區                  ;工程四館                ;主迴路                 ;教學                  ;9974
7;2016/10/16;南區                  ;工程四館                ;主迴路                 ;教學                  ;10164
1;2016/10/17;南區                  ;工程四館                ;主迴路                 ;教學                  ;13768
2;2016/10/18;南區                  ;工程四館                ;主迴路                 ;教學                  ;13636
3;2016/10/19;南區                  ;工程四館                ;主迴路                 ;教學                  ;13849
4;2016/10/20;南區                  ;工程四館                ;主迴路                 ;教學                  ;13992
5;2016/10/21;南區                  ;工程四館                ;主迴路                 ;教學                  ;13425
6;2016/10/22;南區                  ;工程四館                ;主迴路                 ;教學                  ;10302
7;2016/10/23;南區                  ;工程四館                ;主迴路                 ;教學                  ;10240
1;2016/10/24;南區                  ;工程四館                ;主迴路                 ;教學                  ;13728
2;2016/10/25;南區                  ;工程四館                ;主迴路                 ;教學                  ;13440
3;2016/10/26;南區                  ;工程四館                ;主迴路                 ;教學                  ;13413
4;2016/10/27;南區                  ;工程四館                ;主迴路                 ;教學                  ;13302
5;2016/10/28;南區                  ;工程四館                ;主迴路                 ;教學                  ;12690
6;2016/10/29;南區                  ;工程四館                ;主迴路                 ;教學                  ;10382
7;2016/10/30;南區                  ;工程四館                ;主迴路                 ;教學                  ;9609
1;2016/10/31;南區                  ;工程四館                ;主迴路                 ;教學                  ;11562
2;2016/11/01;南區                  ;工程四館                ;主迴路                 ;教學                  ;10586
3;2016/11/02;南區                  ;工程四館                ;主迴路                 ;教學                  ;10127
4;2016/11/03;南區                  ;工程四館                ;主迴路                 ;教學                  ;10108
5;2016/11/04;南區                  ;工程四館                ;主迴路                 ;教學                  ;10274
6;2016/11/05;南區                  ;工程四館                ;主迴路                 ;教學                  ;8747
7;2016/11/06;南區                  ;工程四館                ;主迴路                 ;教學                  ;9039
1;2016/11/07;南區                  ;工程四館                ;主迴路                 ;教學                  ;11588
2;2016/11/08;南區                  ;工程四館                ;主迴路                 ;教學                  ;11253
3;2016/11/09;南區                  ;工程四館                ;主迴路                 ;教學                  ;10240
4;2016/11/10;南區                  ;工程四館                ;主迴路                 ;教學                  ;10336
5;2016/11/11;南區                  ;工程四館                ;主迴路                 ;教學                  ;9968
6;2016/11/12;南區                  ;工程四館                ;主迴路                 ;教學                  ;8710
7;2016/11/13;南區                  ;工程四館                ;主迴路                 ;教學                  ;8995
1;2016/11/14;南區                  ;工程四館                ;主迴路                 ;教學                  ;11572
2;2016/11/15;南區                  ;工程四館                ;主迴路                 ;教學                  ;11109
3;2016/11/16;南區                  ;工程四館                ;主迴路                 ;教學                  ;11701
4;2016/11/17;南區                  ;工程四館                ;主迴路                 ;教學                  ;11833
5;2016/11/18;南區                  ;工程四館                ;主迴路                 ;教學                  ;11368
6;2016/11/19;南區                  ;工程四館                ;主迴路                 ;教學                  ;9493
7;2016/11/20;南區                  ;工程四館                ;主迴路                 ;教學                  ;9221
1;2016/11/21;南區                  ;工程四館                ;主迴路                 ;教學                  ;11141
