month;date;area;bd_name;loop;types;Usage
Sep;2016/09;北區                  ;科學二館                ;主迴路                 ;教學                  ;155622
Oct;2016/10;北區                  ;科學二館                ;主迴路                 ;教學                  ;167179
Nov;2016/11;北區                  ;科學二館                ;主迴路                 ;教學                  ;140397
Dec;2016/12;北區                  ;科學二館                ;主迴路                 ;教學                  ;133043
Jan;2017/01;北區                  ;科學二館                ;主迴路                 ;教學                  ;121240
Feb;2017/02;北區                  ;科學二館                ;主迴路                 ;教學                  ;112657
Mar;2017/03;北區                  ;科學二館                ;主迴路                 ;教學                  ;138637
Apr;2017/04;北區                  ;科學二館                ;主迴路                 ;教學                  ;147668
May;2017/05;北區                  ;科學二館                ;主迴路                 ;教學                  ;179884
Jun;2017/06;北區                  ;科學二館                ;主迴路                 ;教學                  ;175408
Jul;2017/07;北區                  ;科學二館                ;主迴路                 ;教學                  ;174234
Aug;2017/08;北區                  ;科學二館                ;主迴路                 ;教學                  ;183416
