month;date;area;bd_name;loop;types;Usage
Sep;2016/09;北區                  ;基礎大樓                ;主迴路                 ;教學                  ;308647
Oct;2016/10;北區                  ;基礎大樓                ;主迴路                 ;教學                  ;339247
Nov;2016/11;北區                  ;基礎大樓                ;主迴路                 ;教學                  ;319436.5
Dec;2016/12;北區                  ;基礎大樓                ;主迴路                 ;教學                  ;268741
Jan;2017/01;北區                  ;基礎大樓                ;主迴路                 ;教學                  ;224744.5
Feb;2017/02;北區                  ;基礎大樓                ;主迴路                 ;教學                  ;193847.5
Mar;2017/03;北區                  ;基礎大樓                ;主迴路                 ;教學                  ;253917.5
Apr;2017/04;北區                  ;基礎大樓                ;主迴路                 ;教學                  ;295760
May;2017/05;北區                  ;基礎大樓                ;主迴路                 ;教學                  ;343788
Jun;2017/06;北區                  ;基礎大樓                ;主迴路                 ;教學                  ;331706
Jul;2017/07;北區                  ;基礎大樓                ;主迴路                 ;教學                  ;306851
Aug;2017/08;北區                  ;基礎大樓                ;主迴路                 ;教學                  ;322267
