,Date,Weekday,Area,Building_name,Loop,Usage
0,2016-09-01,4,北區,中正堂,1F郵局L燈力,71.74
1,2016-09-02,5,北區,中正堂,1F郵局L燈力,54.53
2,2016-09-03,6,北區,中正堂,1F郵局L燈力,2.39
3,2016-09-04,7,北區,中正堂,1F郵局L燈力,2.38
4,2016-09-05,1,北區,中正堂,1F郵局L燈力,72.02
5,2016-09-06,2,北區,中正堂,1F郵局L燈力,47.48
6,2016-09-07,3,北區,中正堂,1F郵局L燈力,49.37
7,2016-09-08,4,北區,中正堂,1F郵局L燈力,48.61
8,2016-09-09,5,北區,中正堂,1F郵局L燈力,33.09
9,2016-09-10,6,北區,中正堂,1F郵局L燈力,33.25
10,2016-09-11,7,北區,中正堂,1F郵局L燈力,2.41
11,2016-09-12,1,北區,中正堂,1F郵局L燈力,52.41
12,2016-09-13,2,北區,中正堂,1F郵局L燈力,56.7
13,2016-09-14,3,北區,中正堂,1F郵局L燈力,44.07
14,2016-09-15,4,北區,中正堂,1F郵局L燈力,2.45
15,2016-09-16,5,北區,中正堂,1F郵局L燈力,2.45
16,2016-09-17,6,北區,中正堂,1F郵局L燈力,2.4
17,2016-09-18,7,北區,中正堂,1F郵局L燈力,2.45
18,2016-09-19,1,北區,中正堂,1F郵局L燈力,39.57
19,2016-09-20,2,北區,中正堂,1F郵局L燈力,35.54
20,2016-09-21,3,北區,中正堂,1F郵局L燈力,41.46
21,2016-09-22,4,北區,中正堂,1F郵局L燈力,44.62
22,2016-09-23,5,北區,中正堂,1F郵局L燈力,53.15
23,2016-09-24,6,北區,中正堂,1F郵局L燈力,2.41
24,2016-09-25,7,北區,中正堂,1F郵局L燈力,2.48
25,2016-09-26,1,北區,中正堂,1F郵局L燈力,65.13
26,2016-09-27,2,北區,中正堂,1F郵局L燈力,2.38
27,2016-09-28,3,北區,中正堂,1F郵局L燈力,3.9
28,2016-09-29,4,北區,中正堂,1F郵局L燈力,43.59
29,2016-09-30,5,北區,中正堂,1F郵局L燈力,57.68
30,2016-10-01,6,北區,中正堂,1F郵局L燈力,22.14
31,2016-10-02,7,北區,中正堂,1F郵局L燈力,27.5
32,2016-10-03,1,北區,中正堂,1F郵局L燈力,53.45
33,2016-10-04,2,北區,中正堂,1F郵局L燈力,55.49
34,2016-10-05,3,北區,中正堂,1F郵局L燈力,59.8
35,2016-10-06,4,北區,中正堂,1F郵局L燈力,59.18
36,2016-10-07,5,北區,中正堂,1F郵局L燈力,25.29
37,2016-10-08,6,北區,中正堂,1F郵局L燈力,2.37
38,2016-10-09,7,北區,中正堂,1F郵局L燈力,2.43
39,2016-10-10,1,北區,中正堂,1F郵局L燈力,2.4
40,2016-10-11,2,北區,中正堂,1F郵局L燈力,21.1
41,2016-10-12,3,北區,中正堂,1F郵局L燈力,4.8
42,2016-10-13,4,北區,中正堂,1F郵局L燈力,20.87
43,2016-10-14,5,北區,中正堂,1F郵局L燈力,22.84
44,2016-10-15,6,北區,中正堂,1F郵局L燈力,2.4
45,2016-10-16,7,北區,中正堂,1F郵局L燈力,2.36
46,2016-10-17,1,北區,中正堂,1F郵局L燈力,63.93
47,2016-10-18,2,北區,中正堂,1F郵局L燈力,64.71
48,2016-10-19,3,北區,中正堂,1F郵局L燈力,48.49
49,2016-10-20,4,北區,中正堂,1F郵局L燈力,43.26
50,2016-10-21,5,北區,中正堂,1F郵局L燈力,49.43
51,2016-10-22,6,北區,中正堂,1F郵局L燈力,2.39
52,2016-10-23,7,北區,中正堂,1F郵局L燈力,2.46
53,2016-10-24,1,北區,中正堂,1F郵局L燈力,60.98
54,2016-10-25,2,北區,中正堂,1F郵局L燈力,38.53
55,2016-10-26,3,北區,中正堂,1F郵局L燈力,29.79
56,2016-10-27,4,北區,中正堂,1F郵局L燈力,27.89
57,2016-10-28,5,北區,中正堂,1F郵局L燈力,34.74
58,2016-10-29,6,北區,中正堂,1F郵局L燈力,2.39
59,2016-10-30,7,北區,中正堂,1F郵局L燈力,2.41
60,2016-10-31,1,北區,中正堂,1F郵局L燈力,19.37
61,2016-11-01,2,北區,中正堂,1F郵局L燈力,4.47
62,2016-11-02,3,北區,中正堂,1F郵局L燈力,3.68
63,2016-11-03,4,北區,中正堂,1F郵局L燈力,3.16
64,2016-11-04,5,北區,中正堂,1F郵局L燈力,8.42
65,2016-11-05,6,北區,中正堂,1F郵局L燈力,2.36
66,2016-11-06,7,北區,中正堂,1F郵局L燈力,2.36
67,2016-11-07,1,北區,中正堂,1F郵局L燈力,17.55
68,2016-11-08,2,北區,中正堂,1F郵局L燈力,8.41
69,2016-11-09,3,北區,中正堂,1F郵局L燈力,2.59
70,2016-11-10,4,北區,中正堂,1F郵局L燈力,2.32
71,2016-11-11,5,北區,中正堂,1F郵局L燈力,2.87
72,2016-11-12,6,北區,中正堂,1F郵局L燈力,2.36
73,2016-11-13,7,北區,中正堂,1F郵局L燈力,2.36
74,2016-11-14,1,北區,中正堂,1F郵局L燈力,15.46
75,2016-11-15,2,北區,中正堂,1F郵局L燈力,29.04
76,2016-11-16,3,北區,中正堂,1F郵局L燈力,17.91
77,2016-11-17,4,北區,中正堂,1F郵局L燈力,22.83
78,2016-11-18,5,北區,中正堂,1F郵局L燈力,15.09
79,2016-11-19,6,北區,中正堂,1F郵局L燈力,2.32
80,2016-11-20,7,北區,中正堂,1F郵局L燈力,2.36
81,2016-11-21,1,北區,中正堂,1F郵局L燈力,62728.95
82,2016-11-22,2,北區,中正堂,1F郵局L燈力,5.86
83,2016-11-23,3,北區,中正堂,1F郵局L燈力,2.34
84,2016-11-24,4,北區,中正堂,1F郵局L燈力,2.63
85,2016-11-25,5,北區,中正堂,1F郵局L燈力,5.41
86,2016-11-26,6,北區,中正堂,1F郵局L燈力,2.44
87,2016-11-27,7,北區,中正堂,1F郵局L燈力,2.42
88,2016-11-28,1,北區,中正堂,1F郵局L燈力,2.38
89,2016-11-29,2,北區,中正堂,1F郵局L燈力,3.13
90,2016-11-30,3,北區,中正堂,1F郵局L燈力,3.36
91,2016-12-01,4,北區,中正堂,1F郵局L燈力,2.21
92,2016-12-02,5,北區,中正堂,1F郵局L燈力,2.7
93,2016-12-03,6,北區,中正堂,1F郵局L燈力,2.42
94,2016-12-04,7,北區,中正堂,1F郵局L燈力,2.43
95,2016-12-05,1,北區,中正堂,1F郵局L燈力,4.01
96,2016-12-06,2,北區,中正堂,1F郵局L燈力,2.32
97,2016-12-07,3,北區,中正堂,1F郵局L燈力,2.7
98,2016-12-08,4,北區,中正堂,1F郵局L燈力,2.81
99,2016-12-09,5,北區,中正堂,1F郵局L燈力,3.71
