weekday,時  間,Tien,SC,,,
4,2016/9/1,13212.75,10634,,,
5,2016/9/2,13260.69,10388,,,
6,2016/9/3,11846.91,9028,,,
7,2016/9/4,11509.22,9187.5,,,
1,2016/9/5,13737.5,11078,,,
2,2016/9/6,13576.88,10518,,,
3,2016/9/7,13431.19,10813.5,,,
4,2016/9/8,13321.75,10886.5,,,
5,2016/9/9,12738,10357.5,,,
6,2016/9/10,11714.56,9760.5,,,
7,2016/9/11,11324.94,9414.5,,,
1,2016/9/12,12942.25,10602,,,
2,2016/9/13,12865.25,11092,,,
3,2016/9/14,12037.44,10633.5,,,
4,2016/9/15,10295.63,8962.5,,,
5,2016/9/16,9973.44,9004.5,,,
6,2016/9/17,9719.63,8635.5,,,
7,2016/9/18,9834.81,9451,,,
1,2016/9/19,11807.31,11292.5,,,
2,2016/9/20,12358.75,11856,,,
3,2016/9/21,12327.94,11911.5,,,
4,2016/9/22,12766.94,12451.5,,,
5,2016/9/23,12941.5,11829.5,,,
6,2016/9/24,11508.19,10310,,,
7,2016/9/25,8286.56,7618.5,,,
1,2016/9/26,10804.5,9373,,,
2,2016/9/27,10108.06,8831,,,
3,2016/9/28,10950.56,9750.5,,,
4,2016/9/29,12392.31,11920,,,
5,2016/9/30,12236.25,11056,,,
6,2016/10/1,11260.75,9884,,,
7,2016/10/2,11153.88,9616.5,,,
1,2016/10/3,12740.25,11243,,,
2,2016/10/4,12939.44,11827.5,,,
3,2016/10/5,13066.44,11954,,,
4,2016/10/6,13371.94,11799,,,
5,2016/10/7,12109.06,11170,,,
6,2016/10/8,10705.94,9744,,,
7,2016/10/9,9463.69,9310.5,,,
1,2016/10/10,9721.88,9587.5,,,
2,2016/10/11,11369.94,10555,,,
3,2016/10/12,11412.19,10689.5,,,
4,2016/10/13,11756.38,10890.5,,,
5,2016/10/14,11526.38,10825.5,,,
6,2016/10/15,11054.75,9689.5,,,
7,2016/10/16,11122.83,9730,,,
1,2016/10/17,12661.81,11695,,,
2,2016/10/18,12862.15,12177.5,,,
3,2016/10/19,13196.56,11738.5,,,
4,2016/10/20,13446.7,12008,,,
5,2016/10/21,12960.01,11490,,,
6,2016/10/22,11553.16,10310.5,,,
7,2016/10/23,11411.22,10182.5,,,
1,2016/10/24,12874.34,11794,,,
2,2016/10/25,13214.04,12154,,,
3,2016/10/26,12903.52,11797,,,
4,2016/10/27,12889.83,11740,,,
5,2016/10/28,12242.69,11574,,,
6,2016/10/29,10628.59,10410,,,
7,2016/10/30,9836.19,9966,,,
1,2016/10/31,11209.39,11694,,,
2,2016/11/1,10780.55,11759.5,,,
