時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,北區總電站               ,                    ,電站                  ,0.00
2016/10,北區                  ,北區總電站               ,                    ,電站                  ,0.00
2016/11,北區                  ,北區總電站               ,                    ,電站                  ,0.00
2016/12,北區                  ,北區總電站               ,                    ,電站                  ,0.00
2017/01,北區                  ,北區總電站               ,                    ,電站                  ,0.00
2017/02,北區                  ,北區總電站               ,                    ,電站                  ,0.00
2017/03,北區                  ,北區總電站               ,                    ,電站                  ,0.00
2017/04,北區                  ,北區總電站               ,                    ,電站                  ,0.00
2017/05,北區                  ,北區總電站               ,                    ,電站                  ,0.00
2017/06,北區                  ,北區總電站               ,                    ,電站                  ,0.00
2017/07,北區                  ,北區總電站               ,                    ,電站                  ,312010100.00
2017/08,北區                  ,北區總電站               ,                    ,電站                  ,0.00
2016/09,北區                  ,工程一館中繼              ,                    ,電站                  ,487128.00
2016/10,北區                  ,工程一館中繼              ,                    ,電站                  ,518796.00
2016/11,北區                  ,工程一館中繼              ,                    ,電站                  ,416724.00
2016/12,北區                  ,工程一館中繼              ,                    ,電站                  ,389944.00
2017/01,北區                  ,工程一館中繼              ,                    ,電站                  ,338392.00
2017/02,北區                  ,工程一館中繼              ,                    ,電站                  ,314184.00
2017/03,北區                  ,工程一館中繼              ,                    ,電站                  ,392404.00
2017/04,北區                  ,工程一館中繼              ,                    ,電站                  ,415948.00
2017/05,北區                  ,工程一館中繼              ,                    ,電站                  ,564664.00
2017/06,北區                  ,工程一館中繼              ,                    ,電站                  ,576884.00
2017/07,北區                  ,工程一館中繼              ,                    ,電站                  ,534504.00
2017/08,北區                  ,工程一館中繼              ,                    ,電站                  ,541348.00
2016/09,北區                  ,人社二館中繼              ,                    ,電站                  ,31277530.00
2016/10,北區                  ,人社二館中繼              ,                    ,電站                  ,5506069.00
2016/11,北區                  ,人社二館中繼              ,                    ,電站                  ,364449.50
2016/12,北區                  ,人社二館中繼              ,                    ,電站                  ,322789.00
2017/01,北區                  ,人社二館中繼              ,                    ,電站                  ,266019.00
2017/02,北區                  ,人社二館中繼              ,                    ,電站                  ,234724.50
2017/03,北區                  ,人社二館中繼              ,                    ,電站                  ,293451.50
2017/04,北區                  ,人社二館中繼              ,                    ,電站                  ,342402.00
2017/05,北區                  ,人社二館中繼              ,                    ,電站                  ,461038.00
2017/06,北區                  ,人社二館中繼              ,                    ,電站                  ,497269.50
2017/07,北區                  ,人社二館中繼              ,                    ,電站                  ,483936.50
2017/08,北區                  ,人社二館中繼              ,                    ,電站                  ,503886.00
2016/09,北區                  ,行政大樓                ,主迴路                 ,行政                  ,10034.91
2016/10,北區                  ,行政大樓                ,主迴路                 ,行政                  ,8487.64
2016/11,北區                  ,行政大樓                ,主迴路                 ,行政                  ,1920.39
2016/12,北區                  ,行政大樓                ,主迴路                 ,行政                  ,125.61
2017/01,北區                  ,行政大樓                ,主迴路                 ,行政                  ,172.42
2017/02,北區                  ,行政大樓                ,主迴路                 ,行政                  ,400.91
2017/03,北區                  ,行政大樓                ,主迴路                 ,行政                  ,496.88
2017/04,北區                  ,行政大樓                ,主迴路                 ,行政                  ,4311.70
2017/05,北區                  ,行政大樓                ,主迴路                 ,行政                  ,9857.31
2017/06,北區                  ,行政大樓                ,主迴路                 ,行政                  ,14358.13
2017/07,北區                  ,行政大樓                ,主迴路                 ,行政                  ,3294.97
2017/08,北區                  ,行政大樓                ,主迴路                 ,行政                  ,0.00
2016/09,北區                  ,中正堂                 ,主迴路                 ,行政                  ,38568.61
2016/10,北區                  ,中正堂                 ,主迴路                 ,行政                  ,34654.88
2016/11,北區                  ,中正堂                 ,主迴路                 ,行政                  ,32486.53
2016/12,北區                  ,中正堂                 ,主迴路                 ,行政                  ,28460.31
2017/01,北區                  ,中正堂                 ,主迴路                 ,行政                  ,16618.97
2017/02,北區                  ,中正堂                 ,主迴路                 ,行政                  ,17041.53
2017/03,北區                  ,中正堂                 ,主迴路                 ,行政                  ,24025.94
2017/04,北區                  ,中正堂                 ,主迴路                 ,行政                  ,22082.66
2017/05,北區                  ,中正堂                 ,主迴路                 ,行政                  ,41236.50
2017/06,北區                  ,中正堂                 ,主迴路                 ,行政                  ,52744.50
2017/07,北區                  ,中正堂                 ,主迴路                 ,行政                  ,52013.00
2017/08,北區                  ,中正堂                 ,主迴路                 ,行政                  ,42204.50
2016/09,北區                  ,中正堂                 ,1F郵局L燈力             ,外租                  ,972.14
2016/10,北區                  ,中正堂                 ,1F郵局L燈力             ,外租                  ,875.18
2016/11,北區                  ,中正堂                 ,1F郵局L燈力             ,外租                  ,62926.82
2016/12,北區                  ,中正堂                 ,1F郵局L燈力             ,外租                  ,134.38
2017/01,北區                  ,中正堂                 ,1F郵局L燈力             ,外租                  ,88.07
2017/02,北區                  ,中正堂                 ,1F郵局L燈力             ,外租                  ,75.76
2017/03,北區                  ,中正堂                 ,1F郵局L燈力             ,外租                  ,78.57
2017/04,北區                  ,中正堂                 ,1F郵局L燈力             ,外租                  ,176.63
2017/05,北區                  ,中正堂                 ,1F郵局L燈力             ,外租                  ,485.32
2017/06,北區                  ,中正堂                 ,1F郵局L燈力             ,外租                  ,1007.11
2017/07,北區                  ,中正堂                 ,1F郵局L燈力             ,外租                  ,1144.46
2017/08,北區                  ,中正堂                 ,1F郵局L燈力             ,外租                  ,1392.76
2016/09,北區                  ,中正堂                 ,1F郵局P動力             ,外租                  ,1830.75
2016/10,北區                  ,中正堂                 ,1F郵局P動力             ,外租                  ,1897.88
2016/11,北區                  ,中正堂                 ,1F郵局P動力             ,外租                  ,82993.40
2016/12,北區                  ,中正堂                 ,1F郵局P動力             ,外租                  ,1990.77
2017/01,北區                  ,中正堂                 ,1F郵局P動力             ,外租                  ,1792.74
2017/02,北區                  ,中正堂                 ,1F郵局P動力             ,外租                  ,1707.50
2017/03,北區                  ,中正堂                 ,1F郵局P動力             ,外租                  ,2068.43
2017/04,北區                  ,中正堂                 ,1F郵局P動力             ,外租                  ,1772.47
2017/05,北區                  ,中正堂                 ,1F郵局P動力             ,外租                  ,1875.79
2017/06,北區                  ,中正堂                 ,1F郵局P動力             ,外租                  ,1993.57
2017/07,北區                  ,中正堂                 ,1F郵局P動力             ,外租                  ,1909.66
2017/08,北區                  ,中正堂                 ,1F郵局P動力             ,外租                  ,2011.45
2016/09,北區                  ,活動中心                ,主迴路                 ,行政                  ,0.00
2016/10,北區                  ,活動中心                ,主迴路                 ,行政                  ,16893.89
2016/11,北區                  ,活動中心                ,主迴路                 ,行政                  ,61659.37
2016/12,北區                  ,活動中心                ,主迴路                 ,行政                  ,61830.62
2017/01,北區                  ,活動中心                ,主迴路                 ,行政                  ,44513.11
2017/02,北區                  ,活動中心                ,主迴路                 ,行政                  ,42026.41
2017/03,北區                  ,活動中心                ,主迴路                 ,行政                  ,51351.98
2017/04,北區                  ,活動中心                ,主迴路                 ,行政                  ,56461.88
2017/05,北區                  ,活動中心                ,主迴路                 ,行政                  ,83972.94
2017/06,北區                  ,活動中心                ,主迴路                 ,行政                  ,85997.53
2017/07,北區                  ,活動中心                ,主迴路                 ,行政                  ,86438.84
2017/08,北區                  ,活動中心                ,主迴路                 ,行政                  ,83234.88
2016/09,北區                  ,活動中心                ,第一餐聽                ,外租                  ,90420140.00
2016/10,北區                  ,活動中心                ,第一餐聽                ,外租                  ,2713285.00
2016/11,北區                  ,活動中心                ,第一餐聽                ,外租                  ,117636700.00
2016/12,北區                  ,活動中心                ,第一餐聽                ,外租                  ,6677306000.00
2017/01,北區                  ,活動中心                ,第一餐聽                ,外租                  ,1180436000.00
2017/02,北區                  ,活動中心                ,第一餐聽                ,外租                  ,4695179000.00
2017/03,北區                  ,活動中心                ,第一餐聽                ,外租                  ,1495147000.00
2017/04,北區                  ,活動中心                ,第一餐聽                ,外租                  ,17054.25
2017/05,北區                  ,活動中心                ,第一餐聽                ,外租                  ,23295.00
2017/06,北區                  ,活動中心                ,第一餐聽                ,外租                  ,23969.38
2017/07,北區                  ,活動中心                ,第一餐聽                ,外租                  ,23245.63
2017/08,北區                  ,活動中心                ,第一餐聽                ,外租                  ,23959.88
2016/09,北區                  ,活動中心                ,空調R                 ,行政                  ,12538.91
2016/10,北區                  ,活動中心                ,空調R                 ,行政                  ,11864.16
2016/11,北區                  ,活動中心                ,空調R                 ,行政                  ,6889.34
2016/12,北區                  ,活動中心                ,空調R                 ,行政                  ,6124.25
2017/01,北區                  ,活動中心                ,空調R                 ,行政                  ,4788.03
2017/02,北區                  ,活動中心                ,空調R                 ,行政                  ,4853.66
2017/03,北區                  ,活動中心                ,空調R                 ,行政                  ,3255.28
2017/04,北區                  ,活動中心                ,空調R                 ,行政                  ,0.00
2017/05,北區                  ,活動中心                ,空調R                 ,行政                  ,0.00
2017/06,北區                  ,活動中心                ,空調R                 ,行政                  ,0.00
2017/07,北區                  ,活動中心                ,空調R                 ,行政                  ,0.00
2017/08,北區                  ,活動中心                ,空調R                 ,行政                  ,0.00
2016/09,北區                  ,活動中心                ,思源                  ,行政                  ,3210.02
2016/10,北區                  ,活動中心                ,思源                  ,行政                  ,2925.72
2016/11,北區                  ,活動中心                ,思源                  ,行政                  ,3137.78
2016/12,北區                  ,活動中心                ,思源                  ,行政                  ,3257.38
2017/01,北區                  ,活動中心                ,思源                  ,行政                  ,3027.78
2017/02,北區                  ,活動中心                ,思源                  ,行政                  ,2753.44
2017/03,北區                  ,活動中心                ,思源                  ,行政                  ,2674.47
2017/04,北區                  ,活動中心                ,思源                  ,行政                  ,2616.84
2017/05,北區                  ,活動中心                ,思源                  ,行政                  ,2793.06
2017/06,北區                  ,活動中心                ,思源                  ,行政                  ,1979.34
2017/07,北區                  ,活動中心                ,思源                  ,行政                  ,2013.69
2017/08,北區                  ,活動中心                ,思源                  ,行政                  ,1542.72
