Date,Area,Building_name,Loop,Type,Usage
2017/06,北區,體育館 ,籃排球場,行政,779.55
2017/01,北區,體育館 ,籃排球場,行政,836.91
2016/09,北區,體育館 ,籃排球場,行政,854.57
2017/02,北區,體育館 ,籃排球場,行政,866.13
2017/07,北區,體育館 ,籃排球場,行政,871.92
2017/04,北區,體育館 ,籃排球場,行政,895.37
2017/05,北區,體育館 ,籃排球場,行政,942.49
2017/08,北區,體育館 ,籃排球場,行政,949.59
2016/11,北區,體育館 ,籃排球場,行政,968.14
2017/03,北區,體育館 ,籃排球場,行政,1037.06
2016/10,北區,體育館 ,籃排球場,行政,1074.31
2016/12,北區,體育館 ,籃排球場,行政,1094.41
2017/04,北區,體育館 ,司令台 ,行政,1181.57
2017/01,北區,體育館 ,司令台 ,行政,1505.11
2017/08,北區,體育館 ,司令台 ,行政,1757.34
2017/07,北區,體育館 ,司令台 ,行政,1760.23
2017/03,北區,體育館 ,司令台 ,行政,1775.45
2016/09,北區,體育館 ,司令台 ,行政,1945.26
2016/12,北區,體育館 ,司令台 ,行政,1948.56
2017/06,北區,體育館 ,司令台 ,行政,1985.42
2017/05,北區,體育館 ,司令台 ,行政,2025.01
2017/02,北區,體育館 ,司令台 ,行政,2146.36
2016/11,北區,體育館 ,司令台 ,行政,2937.33
2016/10,北區,體育館 ,司令台 ,行政,3232.62
2017/01,北區,體育館 ,主迴路 ,行政,25251.56
2017/02,北區,體育館 ,主迴路 ,行政,29942.56
2017/04,北區,體育館 ,主迴路 ,行政,32147.13
2017/03,北區,體育館 ,主迴路 ,行政,34303.56
2017/07,北區,體育館 ,主迴路 ,行政,35203.38
2016/12,北區,體育館 ,主迴路 ,行政,35857.38
2017/06,北區,體育館 ,主迴路 ,行政,36290.88
2016/11,北區,體育館 ,主迴路 ,行政,37408.81
2017/05,北區,體育館 ,主迴路 ,行政,37600.31
2017/08,北區,體育館 ,主迴路 ,行政,39249.63
2016/09,北區,體育館 ,主迴路 ,行政,39401.19
2016/10,北區,體育館 ,主迴路 ,行政,47915.69
2016/12,北區,環保大樓,主迴路 ,教學,0
2017/02,北區,環保大樓,主迴路 ,教學,32578.91
2017/03,北區,環保大樓,主迴路 ,教學,40636.55
2017/04,北區,環保大樓,主迴路 ,教學,42701.94
2016/09,北區,環保大樓,主迴路 ,教學,58516.8
2016/10,北區,環保大樓,主迴路 ,教學,59811.73
2017/05,北區,環保大樓,主迴路 ,教學,60511.19
2017/06,北區,環保大樓,主迴路 ,教學,70035.06
2017/07,北區,環保大樓,主迴路 ,教學,71938.91
2017/08,北區,環保大樓,主迴路 ,教學,73856.03
2017/01,北區,環保大樓,主迴路 ,教學,95160.26
2016/11,北區,環保大樓,主迴路 ,教學,353208.9
2016/09,南區,機車Ｈ棚,主迴路 ,行政,0
2016/10,南區,機車Ｈ棚,主迴路 ,行政,0
2016/11,南區,機車Ｈ棚,主迴路 ,行政,0
2016/12,南區,機車Ｈ棚,主迴路 ,行政,0
2017/01,南區,機車Ｈ棚,主迴路 ,行政,0
2017/02,南區,機車Ｈ棚,主迴路 ,行政,0
2017/03,南區,機車Ｈ棚,主迴路 ,行政,0
2017/04,南區,機車Ｈ棚,主迴路 ,行政,0
2017/05,南區,機車Ｈ棚,主迴路 ,行政,0
2017/06,南區,機車Ｈ棚,主迴路 ,行政,0
2017/07,南區,機車Ｈ棚,主迴路 ,行政,0
2017/08,南區,機車Ｈ棚,主迴路 ,行政,0
