時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,學生九舍                ,主迴路                 ,宿舍                  ,55837.63
2016/10,北區                  ,學生九舍                ,主迴路                 ,宿舍                  ,61320.13
2016/11,北區                  ,學生九舍                ,主迴路                 ,宿舍                  ,41770.88
2016/12,北區                  ,學生九舍                ,主迴路                 ,宿舍                  ,34607.25
2017/01,北區                  ,學生九舍                ,主迴路                 ,宿舍                  ,27847.31
2017/02,北區                  ,學生九舍                ,主迴路                 ,宿舍                  ,24372.56
2017/03,北區                  ,學生九舍                ,主迴路                 ,宿舍                  ,33479.38
2017/04,北區                  ,學生九舍                ,主迴路                 ,宿舍                  ,43276.50
2017/05,北區                  ,學生九舍                ,主迴路                 ,宿舍                  ,59728.31
2017/06,北區                  ,學生九舍                ,主迴路                 ,宿舍                  ,67304.63
2017/07,北區                  ,學生九舍                ,主迴路                 ,宿舍                  ,63354.81
2017/08,北區                  ,學生九舍                ,主迴路                 ,宿舍                  ,63472.13
