時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,南區                  ,學生十三舍               ,主迴路                 ,宿舍                  ,17739640.00
2016/10,南區                  ,學生十三舍               ,主迴路                 ,宿舍                  ,88269.00
2016/11,南區                  ,學生十三舍               ,主迴路                 ,宿舍                  ,9097471.00
2016/12,南區                  ,學生十三舍               ,主迴路                 ,宿舍                  ,83417.00
2017/01,南區                  ,學生十三舍               ,主迴路                 ,宿舍                  ,9295091.00
2017/02,南區                  ,學生十三舍               ,主迴路                 ,宿舍                  ,72407.00
2017/03,南區                  ,學生十三舍               ,主迴路                 ,宿舍                  ,9390490.00
2017/04,南區                  ,學生十三舍               ,主迴路                 ,宿舍                  ,81964.00
2017/05,南區                  ,學生十三舍               ,主迴路                 ,宿舍                  ,89854.00
2017/06,南區                  ,學生十三舍               ,主迴路                 ,宿舍                  ,86382.00
2017/07,南區                  ,學生十三舍               ,主迴路                 ,宿舍                  ,75125.00
2017/08,南區                  ,學生十三舍               ,主迴路                 ,宿舍                  ,73074.00
