時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,南區                  ,學生十二舍               ,主迴路                 ,宿舍                  ,5328670.00
2016/10,南區                  ,學生十二舍               ,主迴路                 ,宿舍                  ,69070.00
2016/11,南區                  ,學生十二舍               ,主迴路                 ,宿舍                  ,55066.00
2016/12,南區                  ,學生十二舍               ,主迴路                 ,宿舍                  ,49630.50
2017/01,南區                  ,學生十二舍               ,主迴路                 ,宿舍                  ,5576767.00
2017/02,南區                  ,學生十二舍               ,主迴路                 ,宿舍                  ,32234.50
2017/03,南區                  ,學生十二舍               ,主迴路                 ,宿舍                  ,55138.00
2017/04,南區                  ,學生十二舍               ,主迴路                 ,宿舍                  ,61597.50
2017/05,南區                  ,學生十二舍               ,主迴路                 ,宿舍                  ,77176.50
2017/06,南區                  ,學生十二舍               ,主迴路                 ,宿舍                  ,69621.00
2017/07,南區                  ,學生十二舍               ,主迴路                 ,宿舍                  ,27322.00
2017/08,南區                  ,學生十二舍               ,主迴路                 ,宿舍                  ,20491.00
