時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,學生十舍                ,主迴路                 ,宿舍                  ,49136.34
2016/10,北區                  ,學生十舍                ,主迴路                 ,宿舍                  ,55617.44
2016/11,北區                  ,學生十舍                ,主迴路                 ,宿舍                  ,39538.19
2016/12,北區                  ,學生十舍                ,主迴路                 ,宿舍                  ,36290.53
2017/01,北區                  ,學生十舍                ,主迴路                 ,宿舍                  ,28181.41
2017/02,北區                  ,學生十舍                ,主迴路                 ,宿舍                  ,24553.75
2017/03,北區                  ,學生十舍                ,主迴路                 ,宿舍                  ,36502.59
2017/04,北區                  ,學生十舍                ,主迴路                 ,宿舍                  ,43503.69
2017/05,北區                  ,學生十舍                ,主迴路                 ,宿舍                  ,58176.38
2017/06,北區                  ,學生十舍                ,主迴路                 ,宿舍                  ,54789.00
2017/07,北區                  ,學生十舍                ,主迴路                 ,宿舍                  ,27944.19
2017/08,北區                  ,學生十舍                ,主迴路                 ,宿舍                  ,17976.25
