時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,工程二館                ,主迴路                 ,教學                  ,39896.34
2016/10,北區                  ,工程二館                ,主迴路                 ,教學                  ,40630.19
2016/11,北區                  ,工程二館                ,主迴路                 ,教學                  ,29715.28
2016/12,北區                  ,工程二館                ,主迴路                 ,教學                  ,26457.34
2017/01,北區                  ,工程二館                ,主迴路                 ,教學                  ,23412.44
2017/02,北區                  ,工程二館                ,主迴路                 ,教學                  ,20996.31
2017/03,北區                  ,工程二館                ,主迴路                 ,教學                  ,25768.88
2017/04,北區                  ,工程二館                ,主迴路                 ,教學                  ,29174.13
2017/05,北區                  ,工程二館                ,主迴路                 ,教學                  ,37091.38
2017/06,北區                  ,工程二館                ,主迴路                 ,教學                  ,43642.63
2017/07,北區                  ,工程二館                ,主迴路                 ,教學                  ,42162.31
2017/08,北區                  ,工程二館                ,主迴路                 ,教學                  ,40210.00
