時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,南區                  ,工程五館                ,主迴路                 ,教學                  ,297486.50
2016/10,南區                  ,工程五館                ,主迴路                 ,教學                  ,321551.30
2016/11,南區                  ,工程五館                ,主迴路                 ,教學                  ,4168347.00
2016/12,南區                  ,工程五館                ,主迴路                 ,教學                  ,210760.00
2017/01,南區                  ,工程五館                ,主迴路                 ,教學                  ,4609158.00
2017/02,南區                  ,工程五館                ,主迴路                 ,教學                  ,135814.00
2017/03,南區                  ,工程五館                ,主迴路                 ,教學                  ,4785482.00
2017/04,南區                  ,工程五館                ,主迴路                 ,教學                  ,222705.00
2017/05,南區                  ,工程五館                ,主迴路                 ,教學                  ,295453.50
2017/06,南區                  ,工程五館                ,主迴路                 ,教學                  ,325365.00
2017/07,南區                  ,工程五館                ,主迴路                 ,教學                  ,347921.00
2017/08,南區                  ,工程五館                ,主迴路                 ,教學                  ,356902.00
