時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,游泳館                 ,主迴路                 ,行政                  ,68637.19
2016/10,北區                  ,游泳館                 ,主迴路                 ,行政                  ,76594.38
2016/11,北區                  ,游泳館                 ,主迴路                 ,行政                  ,74962.31
2016/12,北區                  ,游泳館                 ,主迴路                 ,行政                  ,75108.44
2017/01,北區                  ,游泳館                 ,主迴路                 ,行政                  ,68838.38
2017/02,北區                  ,游泳館                 ,主迴路                 ,行政                  ,75096.75
2017/03,北區                  ,游泳館                 ,主迴路                 ,行政                  ,86021.75
2017/04,北區                  ,游泳館                 ,主迴路                 ,行政                  ,74777.75
2017/05,北區                  ,游泳館                 ,主迴路                 ,行政                  ,71092.13
2017/06,北區                  ,游泳館                 ,主迴路                 ,行政                  ,70075.13
2017/07,北區                  ,游泳館                 ,主迴路                 ,行政                  ,69129.88
2017/08,北區                  ,游泳館                 ,主迴路                 ,行政                  ,73815.00
