時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,環保大樓                ,主迴路                 ,教學                  ,58516.80
2016/10,北區                  ,環保大樓                ,主迴路                 ,教學                  ,59811.73
2016/11,北區                  ,環保大樓                ,主迴路                 ,教學                  ,353208.90
2016/12,北區                  ,環保大樓                ,主迴路                 ,教學                  ,0.00
2017/01,北區                  ,環保大樓                ,主迴路                 ,教學                  ,95160.26
2017/02,北區                  ,環保大樓                ,主迴路                 ,教學                  ,32578.91
2017/03,北區                  ,環保大樓                ,主迴路                 ,教學                  ,40636.55
2017/04,北區                  ,環保大樓                ,主迴路                 ,教學                  ,42701.94
2017/05,北區                  ,環保大樓                ,主迴路                 ,教學                  ,60511.19
2017/06,北區                  ,環保大樓                ,主迴路                 ,教學                  ,70035.06
2017/07,北區                  ,環保大樓                ,主迴路                 ,教學                  ,71938.91
2017/08,北區                  ,環保大樓                ,主迴路                 ,教學                  ,73856.03
