時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,研究生一舍               ,主迴路                 ,宿舍                  ,17113.50
2016/10,北區                  ,研究生一舍               ,主迴路                 ,宿舍                  ,17564.25
2016/11,北區                  ,研究生一舍               ,主迴路                 ,宿舍                  ,15156.13
2016/12,北區                  ,研究生一舍               ,主迴路                 ,宿舍                  ,14379.13
2017/01,北區                  ,研究生一舍               ,主迴路                 ,宿舍                  ,13764.38
2017/02,北區                  ,研究生一舍               ,主迴路                 ,宿舍                  ,13680.75
2017/03,北區                  ,研究生一舍               ,主迴路                 ,宿舍                  ,15714.75
2017/04,北區                  ,研究生一舍               ,主迴路                 ,宿舍                  ,14328.63
2017/05,北區                  ,研究生一舍               ,主迴路                 ,宿舍                  ,15693.25
2017/06,北區                  ,研究生一舍               ,主迴路                 ,宿舍                  ,16116.63
2017/07,北區                  ,研究生一舍               ,主迴路                 ,宿舍                  ,15667.88
2017/08,北區                  ,研究生一舍               ,主迴路                 ,宿舍                  ,15913.50
