時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,科學二館                ,主迴路                 ,教學                  ,155622.00
2016/10,北區                  ,科學二館                ,主迴路                 ,教學                  ,167179.00
2016/11,北區                  ,科學二館                ,主迴路                 ,教學                  ,140397.00
2016/12,北區                  ,科學二館                ,主迴路                 ,教學                  ,133043.00
2017/01,北區                  ,科學二館                ,主迴路                 ,教學                  ,121240.00
2017/02,北區                  ,科學二館                ,主迴路                 ,教學                  ,112657.00
2017/03,北區                  ,科學二館                ,主迴路                 ,教學                  ,138637.00
2017/04,北區                  ,科學二館                ,主迴路                 ,教學                  ,147668.00
2017/05,北區                  ,科學二館                ,主迴路                 ,教學                  ,179884.00
2017/06,北區                  ,科學二館                ,主迴路                 ,教學                  ,175408.00
2017/07,北區                  ,科學二館                ,主迴路                 ,教學                  ,174234.00
2017/08,北區                  ,科學二館                ,主迴路                 ,教學                  ,183416.00
