時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,竹軒宿舍                ,主迴路                 ,宿舍                  ,26657.22
2016/10,北區                  ,竹軒宿舍                ,主迴路                 ,宿舍                  ,29986.38
2016/11,北區                  ,竹軒宿舍                ,主迴路                 ,宿舍                  ,20019.83
2016/12,北區                  ,竹軒宿舍                ,主迴路                 ,宿舍                  ,18169.78
2017/01,北區                  ,竹軒宿舍                ,主迴路                 ,宿舍                  ,13806.61
2017/02,北區                  ,竹軒宿舍                ,主迴路                 ,宿舍                  ,12618.53
2017/03,北區                  ,竹軒宿舍                ,主迴路                 ,宿舍                  ,18701.77
2017/04,北區                  ,竹軒宿舍                ,主迴路                 ,宿舍                  ,21062.78
2017/05,北區                  ,竹軒宿舍                ,主迴路                 ,宿舍                  ,30352.88
2017/06,北區                  ,竹軒宿舍                ,主迴路                 ,宿舍                  ,28644.16
2017/07,北區                  ,竹軒宿舍                ,主迴路                 ,宿舍                  ,14593.56
2017/08,北區                  ,竹軒宿舍                ,主迴路                 ,宿舍                  ,8777.44
