時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,第二餐廳                ,主迴路                 ,外租                  ,104536.50
2016/10,北區                  ,第二餐廳                ,主迴路                 ,外租                  ,104570.60
2016/11,北區                  ,第二餐廳                ,主迴路                 ,外租                  ,79736.50
2016/12,北區                  ,第二餐廳                ,主迴路                 ,外租                  ,69125.00
2017/01,北區                  ,第二餐廳                ,主迴路                 ,外租                  ,54607.00
2017/02,北區                  ,第二餐廳                ,主迴路                 ,外租                  ,51851.75
2017/03,北區                  ,第二餐廳                ,主迴路                 ,外租                  ,68094.25
2017/04,北區                  ,第二餐廳                ,主迴路                 ,外租                  ,72319.25
2017/05,北區                  ,第二餐廳                ,主迴路                 ,外租                  ,92877.75
2017/06,北區                  ,第二餐廳                ,主迴路                 ,外租                  ,102916.30
2017/07,北區                  ,第二餐廳                ,主迴路                 ,外租                  ,99403.50
2017/08,北區                  ,第二餐廳                ,主迴路                 ,外租                  ,113984.00
