時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2017/08,North,Tien_gia_bin,主迴路                 ,Teach                  ,421187.8
2017/08,North,SC,主迴路                 ,Teach                  ,322267
2017/08,North,EECS,主迴路                 ,Teach                  ,305416
2017/08,North,SB,主迴路                 ,Teach                  ,183416
2017/08,North,DinningHall2                ,主迴路                 ,Rented                  ,113984
2017/08,North,EECS,空調                  ,Admin                  ,102248
2017/08,North,ActivityCenter,主迴路                 ,Admin                  ,83234.88
2017/08,North,EnvProtect_bd,主迴路                 ,Teach                  ,73856.03
2017/08,North,Swim,主迴路                 ,Admin                  ,73815
2017/08,North,SA,主迴路                 ,Teach                  ,64538.13
2017/08,North,StudentDormitory9,主迴路                 ,Dorm                  ,63472.13
2017/08,North,GraduateDorm1,主迴路                 ,Dorm                  ,54817.25
2017/08,North,CCAuditorium,主迴路                 ,Admin                  ,42204.5
2017/08,North,Engineer2,主迴路                 ,Teach                  ,40210
2017/08,North,DinningHall2                ,1F動力1,Rented                  ,39828.75
2017/08,North,Gym,主迴路                 ,Admin                  ,39249.63
2017/08,North,HA1,主迴路                 ,Teach                  ,26428.16
2017/08,North,Manegement1,主迴路                 ,Teach                  ,25850.06
2017/08,North,HABuilding2                ,主迴路                 ,Teach                  ,24291.25
2017/08,North,ActivityCenter,第一餐聽                ,Rented                  ,23959.88
2017/08,North,Engineer1,主迴路                 ,Teach                  ,23307
2017/08,North,DinningHall2                ,1F便利超商動力,Rented                  ,21580.5
2017/08,North,Motocycle,主迴路                 ,Admin                  ,18997.88
2017/08,North,SD10,主迴路                 ,Dorm                  ,17976.25
2017/08,North,GraduateStudentDormitory1,主迴路                 ,Dorm                  ,15913.5
2017/08,North,DinningHall2                ,2F快餐部P動力,Rented                  ,12761.59
2017/08,North,DinningHall2                ,1F動力2,Rented                  ,11899.69
2017/08,North,SD11,主迴路                 ,Dorm                  ,11266.38
2017/08,North,DinningHall2                ,3F教職員餐廳P動力,Rented                  ,9332.89
2017/08,North,DinningHall2                ,2F素食部P動力,Rented                  ,9192.66
2017/08,North,Chu-HsuanFemale,主迴路                 ,Dorm                  ,8777.44
2017/08,North,Info(North),館旁餐亭                ,Rented                  ,6379.75
2017/08,North,ActivityCenter,華通空調                ,Rented                  ,5164.06
2017/08,North,DinningHall2                ,1F燈力,Rented                  ,4342.47
2017/08,North,DinningHall2                ,3F員工餐廳P動力,Rented                  ,3697.29
2017/08,North,DinningHall2                ,2F素食部L燈力,Rented                  ,3683.38
2017/08,North,EECS,網球場動力               ,Admin                  ,2693.69
2017/08,North,DinningHall2                ,2F水果部L燈力,Rented                  ,2050.94
2017/08,North,DinningHall2                ,2F快餐部L燈力,Rented                  ,2047.21
2017/08,North,CCAuditorium,1F郵局P動力,Rented                  ,2011.45
2017/08,North,ActivityCenter,眼鏡部                 ,Rented                  ,1961.63
2017/08,North,Gym,司令台                 ,Admin                  ,1757.34
2017/08,North,ActivityCenter,思源                  ,Admin                  ,1542.72
2017/08,North,ActivityCenter,理髮部                 ,Rented                  ,1510.33
2017/08,North,ActivityCenter,華通燈插                ,Rented                  ,1488.11
2017/08,North,CCAuditorium,1F郵局L燈力,Rented                  ,1392.76
2017/08,North,ActivityCenter,美髮部                 ,Rented                  ,1372.62
2017/08,North,DinningHall2                ,3F教職員餐廳L燈力,Rented                  ,1191.98
2017/08,North,EECS,網球場燈力               ,Admin                  ,1173.31
2017/08,North,Gym,籃排球場                ,Admin                  ,949.59
2017/08,North,First_dorm,主迴路                 ,Dorm                  ,931
