時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,南區                  ,學生七舍_八舍             ,主迴路                 ,宿舍                  ,99227.00
2016/10,南區                  ,學生七舍_八舍             ,主迴路                 ,宿舍                  ,113712.00
2016/11,南區                  ,學生七舍_八舍             ,主迴路                 ,宿舍                  ,78078.50
2016/12,南區                  ,學生七舍_八舍             ,主迴路                 ,宿舍                  ,68478.00
2017/01,南區                  ,學生七舍_八舍             ,主迴路                 ,宿舍                  ,8561031.00
2017/02,南區                  ,學生七舍_八舍             ,主迴路                 ,宿舍                  ,48825.00
2017/03,南區                  ,學生七舍_八舍             ,主迴路                 ,宿舍                  ,66803.00
2017/04,南區                  ,學生七舍_八舍             ,主迴路                 ,宿舍                  ,78414.00
2017/05,南區                  ,學生七舍_八舍             ,主迴路                 ,宿舍                  ,100834.00
2017/06,南區                  ,學生七舍_八舍             ,主迴路                 ,宿舍                  ,8942675.00
2017/07,南區                  ,學生七舍_八舍             ,主迴路                 ,宿舍                  ,113755.00
2017/08,南區                  ,學生七舍_八舍             ,主迴路                 ,宿舍                  ,111447.00
