時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,中正堂                 ,主迴路                 ,行政                  ,38568.61
2016/10,北區                  ,中正堂                 ,主迴路                 ,行政                  ,34654.88
2016/11,北區                  ,中正堂                 ,主迴路                 ,行政                  ,32486.53
2016/12,北區                  ,中正堂                 ,主迴路                 ,行政                  ,28460.31
2017/01,北區                  ,中正堂                 ,主迴路                 ,行政                  ,16618.97
2017/02,北區                  ,中正堂                 ,主迴路                 ,行政                  ,17041.53
2017/03,北區                  ,中正堂                 ,主迴路                 ,行政                  ,24025.94
2017/04,北區                  ,中正堂                 ,主迴路                 ,行政                  ,22082.66
2017/05,北區                  ,中正堂                 ,主迴路                 ,行政                  ,41236.50
2017/06,北區                  ,中正堂                 ,主迴路                 ,行政                  ,52744.50
2017/07,北區                  ,中正堂                 ,主迴路                 ,行政                  ,52013.00
2017/08,北區                  ,中正堂                 ,主迴路                 ,行政                  ,42204.50
