時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,南區                  ,交映樓                 ,主迴路                 ,教學                  ,4970509.00
2016/10,南區                  ,交映樓                 ,主迴路                 ,教學                  ,65425.50
2016/11,南區                  ,交映樓                 ,主迴路                 ,教學                  ,5109443.00
2016/12,南區                  ,交映樓                 ,主迴路                 ,教學                  ,50099.00
2017/01,南區                  ,交映樓                 ,主迴路                 ,教學                  ,5217029.00
2017/02,南區                  ,交映樓                 ,主迴路                 ,教學                  ,35714.00
2017/03,南區                  ,交映樓                 ,主迴路                 ,教學                  ,46329.00
2017/04,南區                  ,交映樓                 ,主迴路                 ,教學                  ,50315.00
2017/05,南區                  ,交映樓                 ,主迴路                 ,教學                  ,5426319.00
2017/06,南區                  ,交映樓                 ,主迴路                 ,教學                  ,65466.00
2017/07,南區                  ,交映樓                 ,主迴路                 ,教學                  ,74422.00
2017/08,南區                  ,交映樓                 ,主迴路                 ,教學                  ,69988.50
