時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,人社一館                ,主迴路                 ,教學                  ,30391.02
2016/10,北區                  ,人社一館                ,主迴路                 ,教學                  ,34042.13
2016/11,北區                  ,人社一館                ,主迴路                 ,教學                  ,24079.13
2016/12,北區                  ,人社一館                ,主迴路                 ,教學                  ,21021.31
2017/01,北區                  ,人社一館                ,主迴路                 ,教學                  ,17368.25
2017/02,北區                  ,人社一館                ,主迴路                 ,教學                  ,15777.19
2017/03,北區                  ,人社一館                ,主迴路                 ,教學                  ,20375.88
2017/04,北區                  ,人社一館                ,主迴路                 ,教學                  ,22610.28
2017/05,北區                  ,人社一館                ,主迴路                 ,教學                  ,30829.16
2017/06,北區                  ,人社一館                ,主迴路                 ,教學                  ,35541.84
2017/07,北區                  ,人社一館                ,主迴路                 ,教學                  ,24358.81
2017/08,北區                  ,人社一館                ,主迴路                 ,教學                  ,26428.16
