時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,人社二館                ,主迴路                 ,教學                  ,1177640.00
2016/10,北區                  ,人社二館                ,主迴路                 ,教學                  ,1220176.00
2016/11,北區                  ,人社二館                ,主迴路                 ,教學                  ,21764.13
2016/12,北區                  ,人社二館                ,主迴路                 ,教學                  ,19383.25
2017/01,北區                  ,人社二館                ,主迴路                 ,教學                  ,16248.38
2017/02,北區                  ,人社二館                ,主迴路                 ,教學                  ,14651.88
2017/03,北區                  ,人社二館                ,主迴路                 ,教學                  ,19476.13
2017/04,北區                  ,人社二館                ,主迴路                 ,教學                  ,19350.63
2017/05,北區                  ,人社二館                ,主迴路                 ,教學                  ,24886.13
2017/06,北區                  ,人社二館                ,主迴路                 ,教學                  ,26609.13
2017/07,北區                  ,人社二館                ,主迴路                 ,教學                  ,25394.25
2017/08,北區                  ,人社二館                ,主迴路                 ,教學                  ,24291.25
