時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,工程一館                ,主迴路                 ,教學                  ,18918.50
2016/10,北區                  ,工程一館                ,主迴路                 ,教學                  ,20456.63
2016/11,北區                  ,工程一館                ,主迴路                 ,教學                  ,15260.88
2016/12,北區                  ,工程一館                ,主迴路                 ,教學                  ,14773.25
2017/01,北區                  ,工程一館                ,主迴路                 ,教學                  ,11648.25
2017/02,北區                  ,工程一館                ,主迴路                 ,教學                  ,10572.25
2017/03,北區                  ,工程一館                ,主迴路                 ,教學                  ,12430.25
2017/04,北區                  ,工程一館                ,主迴路                 ,教學                  ,14461.00
2017/05,北區                  ,工程一館                ,主迴路                 ,教學                  ,18443.00
2017/06,北區                  ,工程一館                ,主迴路                 ,教學                  ,19396.13
2017/07,北區                  ,工程一館                ,主迴路                 ,教學                  ,21355.50
2017/08,北區                  ,工程一館                ,主迴路                 ,教學                  ,23307.00
