時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,南區                  ,工程三館                ,主迴路                 ,教學                  ,179970.00
2016/10,南區                  ,工程三館                ,主迴路                 ,教學                  ,194072.00
2016/11,南區                  ,工程三館                ,主迴路                 ,教學                  ,165312.00
2016/12,南區                  ,工程三館                ,主迴路                 ,教學                  ,148302.00
2017/01,南區                  ,工程三館                ,主迴路                 ,教學                  ,18094280.00
2017/02,南區                  ,工程三館                ,主迴路                 ,教學                  ,113186.00
2017/03,南區                  ,工程三館                ,主迴路                 ,教學                  ,143674.00
2017/04,南區                  ,工程三館                ,主迴路                 ,教學                  ,157442.00
2017/05,南區                  ,工程三館                ,主迴路                 ,教學                  ,18773530.00
2017/06,南區                  ,工程三館                ,主迴路                 ,教學                  ,18825640.00
2017/07,南區                  ,工程三館                ,主迴路                 ,教學                  ,230660.00
2017/08,南區                  ,工程三館                ,主迴路                 ,教學                  ,226858.00
