時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,南區                  ,工程六館                ,主迴路                 ,教學                  ,342914.20
2016/10,南區                  ,工程六館                ,主迴路                 ,教學                  ,217848.00
2016/11,南區                  ,工程六館                ,主迴路                 ,教學                  ,797101.40
2016/12,南區                  ,工程六館                ,主迴路                 ,教學                  ,160789.10
2017/01,南區                  ,工程六館                ,主迴路                 ,教學                  ,2091565.00
2017/02,南區                  ,工程六館                ,主迴路                 ,教學                  ,119864.50
2017/03,南區                  ,工程六館                ,主迴路                 ,教學                  ,151256.80
2017/04,南區                  ,工程六館                ,主迴路                 ,教學                  ,169622.80
2017/05,南區                  ,工程六館                ,主迴路                 ,教學                  ,1867868.00
2017/06,南區                  ,工程六館                ,主迴路                 ,教學                  ,222389.00
2017/07,南區                  ,工程六館                ,主迴路                 ,教學                  ,241524.40
2017/08,南區                  ,工程六館                ,主迴路                 ,教學                  ,246447.50
