時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,行政大樓                ,主迴路                 ,行政                  ,10034.91
2016/10,北區                  ,行政大樓                ,主迴路                 ,行政                  ,8487.64
2016/11,北區                  ,行政大樓                ,主迴路                 ,行政                  ,1920.39
2016/12,北區                  ,行政大樓                ,主迴路                 ,行政                  ,125.61
2017/01,北區                  ,行政大樓                ,主迴路                 ,行政                  ,172.42
2017/02,北區                  ,行政大樓                ,主迴路                 ,行政                  ,400.91
2017/03,北區                  ,行政大樓                ,主迴路                 ,行政                  ,496.88
2017/04,北區                  ,行政大樓                ,主迴路                 ,行政                  ,4311.70
2017/05,北區                  ,行政大樓                ,主迴路                 ,行政                  ,9857.31
2017/06,北區                  ,行政大樓                ,主迴路                 ,行政                  ,14358.13
2017/07,北區                  ,行政大樓                ,主迴路                 ,行政                  ,3294.97
2017/08,北區                  ,行政大樓                ,主迴路                 ,行政                  ,0.00
