時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,南區                  ,資訊館(南區)             ,主迴路                 ,行政                  ,180106.00
2016/10,南區                  ,資訊館(南區)             ,主迴路                 ,行政                  ,186686.50
2016/11,南區                  ,資訊館(南區)             ,主迴路                 ,行政                  ,165044.00
2016/12,南區                  ,資訊館(南區)             ,主迴路                 ,行政                  ,156010.50
2017/01,南區                  ,資訊館(南區)             ,主迴路                 ,行政                  ,5156064.00
2017/02,南區                  ,資訊館(南區)             ,主迴路                 ,行政                  ,132981.50
2017/03,南區                  ,資訊館(南區)             ,主迴路                 ,行政                  ,151334.50
2017/04,南區                  ,資訊館(南區)             ,主迴路                 ,行政                  ,156185.50
2017/05,南區                  ,資訊館(南區)             ,主迴路                 ,行政                  ,140924.50
2017/06,南區                  ,資訊館(南區)             ,主迴路                 ,行政                  ,157065.50
2017/07,南區                  ,資訊館(南區)             ,主迴路                 ,行政                  ,182857.50
2017/08,南區                  ,資訊館(南區)             ,主迴路                 ,行政                  ,187850.00
