時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2016/09,北區                  ,資訊館(北區)             ,主迴路                 ,行政                  ,0.00
2016/10,北區                  ,資訊館(北區)             ,主迴路                 ,行政                  ,158.02
2016/11,北區                  ,資訊館(北區)             ,主迴路                 ,行政                  ,0.00
2016/12,北區                  ,資訊館(北區)             ,主迴路                 ,行政                  ,0.00
2017/01,北區                  ,資訊館(北區)             ,主迴路                 ,行政                  ,100.56
2017/02,北區                  ,資訊館(北區)             ,主迴路                 ,行政                  ,0.00
2017/03,北區                  ,資訊館(北區)             ,主迴路                 ,行政                  ,0.00
2017/04,北區                  ,資訊館(北區)             ,主迴路                 ,行政                  ,0.00
2017/05,北區                  ,資訊館(北區)             ,主迴路                 ,行政                  ,29826.70
2017/06,北區                  ,資訊館(北區)             ,主迴路                 ,行政                  ,13567.05
2017/07,北區                  ,資訊館(北區)             ,主迴路                 ,行政                  ,0.00
2017/08,北區                  ,資訊館(北區)             ,主迴路                 ,行政                  ,0.00
