month,田家炳,EB,SA,SB,SC
Sep,355831.7,39896.34,56180.06,155622,308647
Oct,368665.9,40630.19,60920.13,167179,339247
Nov,175533.4,29715.28,44560.88,140397,319436.5
Dec,0,26457.34,40563.19,133043,268741
Jan,673310.5,23412.44,33757.56,121240,224744.5
Feb,225028.5,20996.31,31529.94,112657,193847.5
Mar,283449.9,25768.88,40157.38,138637,253917.5
Apr,306591.9,29174.13,42889.44,147668,295760
May,373546.8,37091.38,57777.88,179884,343788
Jun,379082,43642.63,67220.88,175408,331706
Jul,394491.8,42162.31,64002.38,174234,306851
Aug,421187.8,40210,64538.13,183416,322267
