weekday,時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
4,2016/9/1,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13212.75
5,2016/9/2,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13260.69
6,2016/9/3,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11846.91
7,2016/9/4,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11509.22
1,2016/9/5,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13737.5
2,2016/9/6,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13576.88
3,2016/9/7,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13431.19
4,2016/9/8,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13321.75
5,2016/9/9,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12738
6,2016/9/10,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11714.56
7,2016/9/11,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11324.94
1,2016/9/12,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12942.25
2,2016/9/13,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12865.25
3,2016/9/14,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12037.44
4,2016/9/15,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10295.63
5,2016/9/16,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9973.44
6,2016/9/17,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9719.63
7,2016/9/18,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9834.81
1,2016/9/19,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11807.31
2,2016/9/20,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12358.75
3,2016/9/21,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12327.94
4,2016/9/22,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12766.94
5,2016/9/23,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12941.5
6,2016/9/24,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11508.19
7,2016/9/25,北區                  ,光電大樓                ,主迴路                 ,教學                  ,8286.56
1,2016/9/26,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10804.5
2,2016/9/27,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10108.06
3,2016/9/28,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10950.56
4,2016/9/29,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12392.31
5,2016/9/30,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12236.25
6,2016/10/1,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11260.75
7,2016/10/2,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11153.88
1,2016/10/3,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12740.25
2,2016/10/4,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12939.44
3,2016/10/5,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13066.44
4,2016/10/6,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13371.94
5,2016/10/7,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12109.06
6,2016/10/8,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10705.94
7,2016/10/9,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9463.69
1,2016/10/10,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9721.88
2,2016/10/11,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11369.94
3,2016/10/12,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11412.19
4,2016/10/13,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11756.38
5,2016/10/14,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11526.38
6,2016/10/15,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11054.75
7,2016/10/16,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11122.83
1,2016/10/17,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12661.81
2,2016/10/18,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12862.15
3,2016/10/19,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13196.56
4,2016/10/20,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13446.7
5,2016/10/21,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12960.01
6,2016/10/22,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11553.16
7,2016/10/23,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11411.22
1,2016/10/24,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12874.34
2,2016/10/25,北區                  ,光電大樓                ,主迴路                 ,教學                  ,13214.04
3,2016/10/26,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12903.52
4,2016/10/27,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12889.83
5,2016/10/28,北區                  ,光電大樓                ,主迴路                 ,教學                  ,12242.69
6,2016/10/29,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10628.59
7,2016/10/30,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9836.19
1,2016/10/31,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11209.39
2,2016/11/1,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10780.55
3,2016/11/2,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10448.38
4,2016/11/3,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10386.72
5,2016/11/4,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10598.69
6,2016/11/5,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10072.97
7,2016/11/6,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9991.69
1,2016/11/7,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11642.48
2,2016/11/8,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11331.41
3,2016/11/9,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10377.84
4,2016/11/10,北區                  ,光電大樓                ,主迴路                 ,教學                  ,10360.44
5,2016/11/11,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9949.91
6,2016/11/12,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9408.06
7,2016/11/13,北區                  ,光電大樓                ,主迴路                 ,教學                  ,9562.53
1,2016/11/14,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11378.06
2,2016/11/15,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11617.28
3,2016/11/16,北區                  ,光電大樓                ,主迴路                 ,教學                  ,11643.44
4,2016/11/17,北區                  ,光電大樓                ,主迴路                 ,教學                  ,5982.97
5,2016/11/18,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
6,2016/11/19,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
7,2016/11/20,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
1,2016/11/21,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
2,2016/11/22,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
3,2016/11/23,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
4,2016/11/24,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
5,2016/11/25,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
6,2016/11/26,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
7,2016/11/27,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
1,2016/11/28,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
2,2016/11/29,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
3,2016/11/30,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
4,2016/12/1,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
5,2016/12/2,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
6,2016/12/3,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
7,2016/12/4,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
1,2016/12/5,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
2,2016/12/6,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
3,2016/12/7,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
4,2016/12/8,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
5,2016/12/9,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
6,2016/12/10,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
7,2016/12/11,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
1,2016/12/12,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
2,2016/12/13,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
3,2016/12/14,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
4,2016/12/15,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
5,2016/12/16,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
6,2016/12/17,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
7,2016/12/18,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
1,2016/12/19,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
2,2016/12/20,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
3,2016/12/21,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
4,2016/12/22,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
5,2016/12/23,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
6,2016/12/24,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
7,2016/12/25,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
1,2016/12/26,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
2,2016/12/27,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
3,2016/12/28,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
4,2016/12/29,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
5,2016/12/30,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
6,2016/12/31,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
7,2017/1/1,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
1,2017/1/2,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
2,2017/1/3,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
3,2017/1/4,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
4,2017/1/5,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
5,2017/1/6,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
6,2017/1/7,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
7,2017/1/8,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
1,2017/1/9,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
2,2017/1/10,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
3,2017/1/11,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
4,2017/1/12,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
5,2017/1/13,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
6,2017/1/14,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
7,2017/1/15,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
1,2017/1/16,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
2,2017/1/17,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
3,2017/1/18,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
4,2017/1/19,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
5,2017/1/20,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
6,2017/1/21,北區                  ,光電大樓                ,主迴路                 ,教學                  ,0
7,2017/1/22,北區                  ,光電大樓                ,主迴路                 ,教學                  ,613240.9
1,2017/1/23,北區                  ,光電大樓                ,主迴路                 ,教學                  ,7754.31
2,2017/1/24,北區                  ,光電大樓                ,主迴路                 ,教學                  ,7722.75
3,2017/1/25,北區                  ,光電大樓                ,主迴路                 ,教學                  ,7546.13
4,2017/1/26,北區                  ,光電大樓                ,主迴路                 ,教學                  ,6596.06
5,2017/1/27,北區                  ,光電大樓                ,主迴路                 ,教學                  ,5915.5
6,2017/1/28,北區                  ,光電大樓                ,主迴路                 ,教學                  ,6017.25
7,2017/1/29,北區                  ,光電大樓                ,主迴路                 ,教學                  ,6112.31
1,2017/1/30,北區                  ,光電大樓                ,主迴路                 ,教學                  ,6059.88
2,2017/1/31,北區                  ,光電大樓                ,主迴路                 ,教學                  ,6345.38
