month;date;area;bd_name;loop;types;Usage
Sep;2016/09;北區                  ;光電大樓                ;主迴路                 ;教學                  ;355831.7
Oct;2016/10;北區                  ;光電大樓                ;主迴路                 ;教學                  ;368665.9
Nov;2016/11;北區                  ;光電大樓                ;主迴路                 ;教學                  ;175533.4
Dec;2016/12;北區                  ;光電大樓                ;主迴路                 ;教學                  ;0
Jan;2017/01;北區                  ;光電大樓                ;主迴路                 ;教學                  ;673310.5
Feb;2017/02;北區                  ;光電大樓                ;主迴路                 ;教學                  ;225028.5
Mar;2017/03;北區                  ;光電大樓                ;主迴路                 ;教學                  ;283449.9
Apr;2017/04;北區                  ;光電大樓                ;主迴路                 ;教學                  ;306591.9
May;2017/05;北區                  ;光電大樓                ;主迴路                 ;教學                  ;373546.8
Jun;2017/06;北區                  ;光電大樓                ;主迴路                 ;教學                  ;379082
Jul;2017/07;北區                  ;光電大樓                ;主迴路                 ;教學                  ;394491.8
Aug;2017/08;北區                  ;光電大樓                ;主迴路                 ;教學                  ;421187.8
