時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2017/10/01 00:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,365.00
2017/10/01 01:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,365.00
2017/10/01 02:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,384.00
2017/10/01 03:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,365.00
2017/10/01 04:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,359.00
2017/10/01 05:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,348.00
2017/10/01 06:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,366.00
2017/10/01 07:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,361.00
2017/10/01 08:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,360.00
2017/10/01 09:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,376.00
2017/10/01 10:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,381.00
2017/10/01 11:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,388.00
2017/10/01 12:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,395.00
2017/10/01 13:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,403.00
2017/10/01 14:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,422.00
2017/10/01 15:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,434.00
2017/10/01 16:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,413.00
2017/10/01 17:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,402.00
2017/10/01 18:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,410.00
2017/10/01 19:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,403.00
2017/10/01 20:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,381.00
2017/10/01 21:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,389.00
2017/10/01 22:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,379.00
2017/10/01 23:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,366.00
2017/10/02 00:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,349.00
2017/10/02 01:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,345.00
2017/10/02 02:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,340.00
2017/10/02 03:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,348.00
2017/10/02 04:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,356.00
2017/10/02 05:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,333.00
2017/10/02 06:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,339.00
2017/10/02 07:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,371.00
2017/10/02 08:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,441.00
2017/10/02 09:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,491.00
2017/10/02 10:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,549.00
2017/10/02 11:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,555.00
2017/10/02 12:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,542.00
2017/10/02 13:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,542.00
2017/10/02 14:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,537.00
2017/10/02 15:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,580.00
2017/10/02 16:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,576.00
2017/10/02 17:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,538.00
2017/10/02 18:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,481.00
2017/10/02 19:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,484.00
2017/10/02 20:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,476.00
2017/10/02 21:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,436.00
2017/10/02 22:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,420.00
2017/10/02 23:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,394.00
2017/10/03 00:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,383.00
2017/10/03 01:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,365.00
2017/10/03 02:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,379.00
2017/10/03 03:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,370.00
2017/10/03 04:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,381.00
2017/10/03 05:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,399.00
2017/10/03 06:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,381.00
2017/10/03 07:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,390.00
2017/10/03 08:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,426.00
2017/10/03 09:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,504.00
2017/10/03 10:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,581.00
2017/10/03 11:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,579.00
2017/10/03 12:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,561.00
2017/10/03 13:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,570.00
2017/10/03 14:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,582.00
2017/10/03 15:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,627.00
2017/10/03 16:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,595.00
2017/10/03 17:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,554.00
2017/10/03 18:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,515.00
2017/10/03 19:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,487.00
2017/10/03 20:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,478.00
2017/10/03 21:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,467.00
2017/10/03 22:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,425.00
2017/10/03 23:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,406.00
2017/10/04 00:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,389.00
2017/10/04 01:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,383.00
2017/10/04 02:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,396.00
2017/10/04 03:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,377.00
2017/10/04 04:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,360.00
2017/10/04 05:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,380.00
2017/10/04 06:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,368.00
2017/10/04 07:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,368.00
2017/10/04 08:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,384.00
2017/10/04 09:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,430.00
2017/10/04 10:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,429.00
2017/10/04 11:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,441.00
2017/10/04 12:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,437.00
2017/10/04 13:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,439.00
2017/10/04 14:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,444.00
2017/10/04 15:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,463.00
2017/10/04 16:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,447.00
2017/10/04 17:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,458.00
2017/10/04 18:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,433.00
2017/10/04 19:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,436.00
2017/10/04 20:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,435.00
2017/10/04 21:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,426.00
2017/10/04 22:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,434.00
2017/10/04 23:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,392.00
2017/10/05 00:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,409.00
2017/10/05 01:00,北區                  ,基礎大樓                ,主迴路                 ,教學                  ,375.00
